Quarter,Time,Tm,Detail,BAL,NOR
1.0,7:55,Ravens,Steve McNair 5 yard rush (Matt Stover kick),7,0
2.0,12:20,Ravens,Clarence Moore 4 yard pass from Steve McNair (Matt Stover kick),14,0
,6:09,Ravens,Ronnie Prude 12 yard interception return (Matt Stover kick),21,0
,4:08,Saints,Joe Horn 32 yard pass from Drew Brees (John Carney kick),21,7
,0:10,Ravens,Todd Heap 6 yard pass from Steve McNair (Matt Stover kick),28,7
3.0,8:05,Ravens,Dawan Landry 12 yard interception return (Matt Stover kick),35,7
4.0,14:42,Saints,Marques Colston 47 yard pass from Drew Brees (John Carney kick),35,14
,0:36,Saints,Marques Colston 25 yard pass from Drew Brees (Billy Miller pass from Drew Brees),35,22
