Unnamed: 0,BAL,NOR
First Downs,21,17
Rush-Yds-TDs,39-137-1,14-35-0
Cmp-Att-Yd-TD-INT,17-23-159-2-0,24-46-383-3-4
Sacked-Yards,1-3,2-15
Net Pass Yards,156,368
Total Yards,293,403
Fumbles-Lost,2-1,1-1
Turnovers,1,5
Penalties-Yards,9-69,10-68
Third Down Conv.,8-14,6-14
Fourth Down Conv.,0-0,2-4
Time of Possession,36:46,23:14
