Quarter,Time,Down,ToGo,Location,BAL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"John Carney kicks off 42 yards, returned by Jarret Johnson for 6 yards (tackle by Steve Gleason). Penalty on Michael Lewis: Offside on Free Kick, 5 yards",0.000,1.530
1,14:58,1,10,BAL 39,0,0,Jamal Lewis left guard for 10 yards (tackle by Josh Bullocks),1.530,2.190
1,14:13,1,10,BAL 49,0,0,"Jamal Lewis left guard for no gain (tackle by Will Smith). Jamal Lewis fumbles (forced by Will Smith), recovered by Hollis Thomas at 50",2.190,-2.260
1,14:07,1,10,NOR 50,0,0,Deuce McAllister left guard for 1 yard (tackle by Bart Scott),2.260,1.850
1,13:35,2,9,BAL 49,0,0,Drew Brees pass complete short right to Reggie Bush for -5 yards (tackle by Adalius Thomas),1.850,0.500
1,12:57,3,14,NOR 46,0,0,"Drew Brees for no gain. Drew Brees fumbles, recovered by Chris McAlister at NOR-43 (tackle by Jon Stinchcomb)",0.500,-2.720
1,12:51,1,10,NOR 43,0,0,Steve McNair pass complete short left to Daniel Wilcox for 2 yards (tackle by Scott Fujita),2.720,2.450
1,12:15,2,8,NOR 41,0,0,"Penalty on Quinn Sypniewski: False Start, 5 yards (no play)",2.450,1.770
1,11:51,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,1.770
1,11:51,2,13,NOR 46,0,0,Jamal Lewis left end for 4 yards (tackle by Omar Stoutmire and Mark Simoneau),1.770,1.620
1,11:17,3,9,NOR 42,0,0,Steve McNair pass complete short middle to Demetrius Williams for 12 yards (tackle by Fred Thomas),1.620,3.580
1,10:41,1,10,NOR 30,0,0,"Jamal Lewis right tackle for 2 yards (tackle by Brian Young). Penalty on Will Smith: Personal Foul, 14 yards",3.580,4.650
1,10:04,1,10,NOR 14,0,0,Jamal Lewis left guard for 2 yards (tackle by Hollis Thomas),4.650,4.330
1,9:22,2,8,NOR 12,0,0,"Steve McNair pass complete short left to Ovie Mughelli for 1 yard (tackle by Scott Shanle). Penalty on Mike McKenzie: Illegal Contact, 5 yards (no play)",4.330,5.600
1,8:44,1,7,NOR 7,0,0,Jamal Lewis left tackle for 2 yards (tackle by Brian Young),5.600,5.150
1,8:04,2,5,NOR 5,0,0,Steve McNair pass incomplete short left intended for Derrick Mason,5.150,4.260
1,7:59,3,5,NOR 5,6,0,"Steve McNair middle for 5 yards, touchdown",4.260,7.000
1,,,,NOR 2,7,0,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,7,0,"Matt Stover kicks off 61 yards, returned by Michael Lewis for 11 yards (tackle by Mike Smith)",0.000,0.280
1,7:50,1,10,NOR 20,7,0,Drew Brees pass incomplete deep right intended for Joe Horn,0.280,-0.270
1,7:43,2,10,NOR 20,7,0,Drew Brees pass complete short right to Mark Campbell for 5 yards (tackle by Ed Reed),-0.270,-0.300
1,7:00,3,5,NOR 25,7,0,Drew Brees pass complete deep right to Marques Colston for 53 yards (tackle by Chris McAlister),-0.300,4.110
1,6:13,,,,7,0,Timeout #1 by New Orleans Saints,0.000,4.110
1,6:13,1,10,BAL 22,7,0,Drew Brees pass complete short left to Aaron Stecker for 5 yards (tackle by Samari Rolle),4.110,4.290
1,5:40,2,5,BAL 17,7,0,Drew Brees pass complete short right to Mike Karney for 9 yards (tackle by Gerome Sapp),4.290,5.370
1,5:11,1,8,BAL 8,7,0,"Penalty on NOR: Illegal Substitution, 5 yards (no play)",5.370,4.530
1,4:48,1,13,BAL 13,7,0,"Penalty on Nate Lawrie: False Start, 5 yards (no play)",4.530,4.240
1,4:30,1,18,BAL 18,7,0,Reggie Bush pass incomplete deep right intended for Marques Colston is intercepted by Ray Lewis at BAL-0,4.240,-0.280
1,4:17,1,10,BAL 20,7,0,Steve McNair pass complete short right to Derrick Mason for 12 yards,0.280,1.070
1,3:46,1,10,BAL 32,7,0,"Penalty on Jason Brown: False Start, 5 yards (no play)",1.070,0.740
1,3:24,1,15,BAL 27,7,0,Jamal Lewis left tackle for 1 yard (tackle by Hollis Thomas),0.740,-0.010
1,2:47,2,14,BAL 28,7,0,Steve McNair pass complete deep right to Mark Clayton for 17 yards (tackle by Fred Thomas),-0.010,1.930
1,2:06,1,10,BAL 45,7,0,Jamal Lewis right guard for 2 yards (tackle by Omar Stoutmire and Hollis Thomas),1.930,1.650
1,1:24,2,8,BAL 47,7,0,Jamal Lewis right guard for 6 yards (tackle by Omar Stoutmire and Scott Shanle),1.650,1.750
1,0:41,3,2,NOR 47,7,0,Steve McNair pass complete short right to Todd Heap for 30 yards (tackle by Scott Shanle and Josh Bullocks),1.750,4.440
Quarter,Time,Down,ToGo,Location,BAL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 17,7,0,Jamal Lewis right tackle for 3 yards (tackle by Charles Grant and Omar Stoutmire),4.440,4.320
2,14:26,2,7,NOR 14,7,0,Steve McNair pass complete short left to Daniel Wilcox for 7 yards (tackle by Fred Thomas),4.320,5.600
