Unnamed: 0,BAL,ATL
First Downs,25,16
Rush-Yds-TDs,49-207-1,15-34-0
Cmp-Att-Yd-TD-INT,15-26-167-0-0,16-27-131-1-0
Sacked-Yards,2-8,3-34
Net Pass Yards,159,97
Total Yards,366,131
Fumbles-Lost,4-1,2-1
Turnovers,1,1
Penalties-Yards,9-88,8-82
Third Down Conv.,7-15,2-9
Fourth Down Conv.,2-2,0-1
Time of Possession,39:39,20:21
