Quarter,Time,Tm,Detail,BAL,ATL
1.0,9:32,Falcons,Matt Bryant 44 yard field goal,0,3
,4:17,Ravens,Lamar Jackson 13 yard rush (Justin Tucker kick),7,3
2.0,11:33,Falcons,Vic Beasley 74 yard fumble return (Matt Bryant kick),7,10
,0:06,Ravens,Justin Tucker 41 yard field goal,10,10
3.0,9:59,Ravens,Justin Tucker 21 yard field goal,13,10
,0:31,Ravens,Justin Tucker 45 yard field goal,16,10
4.0,7:25,Ravens,Justin Tucker 47 yard field goal,19,10
,7:16,Ravens,Tavon Young 12 yard fumble return (Justin Tucker kick),26,10
,4:18,Falcons,Austin Hooper 1 yard pass from Matt Ryan,26,16
