Unnamed: 0,NOR,SEA
First Downs,32,19
Rush-Yds-TDs,22-77-2,24-150-1
Cmp-Att-Yd-TD-INT,39-60-404-2-0,22-35-272-4-1
Sacked-Yards,1-7,2-7
Net Pass Yards,397,265
Total Yards,474,415
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,7-39,6-39
Third Down Conv.,6-13,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,32:01,27:59
