Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,DeMarco Murray left tackle for 3 yards (tackle by Telvin Smith),0.610,0.470
1,14:38,2,7,TEN 28,0,0,Marcus Mariota pass complete deep left to Delanie Walker for 18 yards (tackle by Telvin Smith),0.470,1.990
1,13:57,1,10,TEN 46,0,0,DeMarco Murray right end for 2 yards (tackle by Telvin Smith),1.990,1.720
1,13:16,2,8,TEN 48,0,0,"Marcus Mariota for no gain. Marcus Mariota fumbles, recovered by Brian Schwenke at TEN-36",1.720,-0.560
1,12:25,3,20,TEN 36,0,0,"Penalty on Marcus Mariota: Delay of Game, 5 yards (no play)",-0.560,-1.220
1,12:04,3,25,TEN 31,0,0,Marcus Mariota pass complete short left to Derrick Henry for 11 yards (tackle by Telvin Smith),-1.220,-0.590
1,11:29,4,14,TEN 42,0,0,"Brett Kern punts 44 yards, fair catch by Bryan Walters",-0.590,0.280
1,11:21,1,10,JAX 14,0,0,T.J. Yeldon left tackle for 2 yards (tackle by Avery Williamson),-0.280,-0.510
1,10:44,2,8,JAX 16,0,0,Blake Bortles pass complete short right to Allen Hurns for 9 yards (tackle by Sean Spence),-0.510,0.610
1,10:11,1,10,JAX 25,0,0,Blake Bortles pass incomplete short left intended for Allen Hurns,0.610,0.060
1,10:06,2,10,JAX 25,0,0,Chris Ivory left tackle for 1 yard (tackle by Avery Williamson),0.060,-0.490
1,9:22,3,9,JAX 26,0,0,Blake Bortles pass incomplete short right intended for Allen Robinson,-0.490,-1.630
1,9:17,4,9,JAX 26,0,0,"Penalty on Carson Tinker: False Start, 5 yards (no play)",-1.630,-1.960
1,9:17,4,14,JAX 21,0,0,"Brad Nortman punts 56 yards, returned by Marc Mariani for 9 yards (tackle by Jarrod Wilson)",-1.960,-1.070
1,9:05,1,10,TEN 32,0,0,"Marcus Mariota pass incomplete short right intended for Phillip Supernaw. Penalty on Jalen Ramsey: Unnecessary Roughness, 15 yards (no play)",1.070,2.060
1,8:59,1,10,TEN 47,0,0,"Penalty on Phillip Supernaw: False Start, 5 yards (no play)",2.060,1.730
1,8:59,1,15,TEN 42,0,0,DeMarco Murray left guard for 3 yards (tackle by Telvin Smith and Dante Fowler),1.730,1.250
1,8:20,2,12,TEN 45,0,0,Marcus Mariota pass complete short left to Delanie Walker for 6 yards (tackle by Prince Amukamara),1.250,1.360
1,7:44,3,6,JAX 49,0,0,Marcus Mariota left end for 7 yards (tackle by Telvin Smith),1.360,2.790
1,7:08,1,10,JAX 42,0,0,DeMarco Murray left guard for 3 yards (tackle by Dan Skuta and Jonathan Cyprien),2.790,2.650
1,6:30,2,7,JAX 39,0,0,DeMarco Murray left tackle for 3 yards (tackle by Richard Ash and Paul Posluszny),2.650,2.340
1,5:49,3,4,JAX 36,0,0,Marcus Mariota pass complete short left to Rishard Matthews for 16 yards (tackle by Jalen Ramsey),2.340,4.240
1,5:06,1,10,JAX 20,0,0,DeMarco Murray left guard for 1 yard (tackle by Jonathan Cyprien),4.240,3.820
1,4:25,2,9,JAX 19,0,0,Marcus Mariota pass incomplete short right intended for DeMarco Murray,3.820,3.100
1,4:21,3,9,JAX 19,0,0,Marcus Mariota pass complete short right to DeMarco Murray for 5 yards (tackle by Jonathan Cyprien and Jalen Ramsey),3.100,2.580
1,3:35,4,4,JAX 14,0,3,Ryan Succop 32 yard field goal good,2.580,3.000
1,3:35,,,TEN 35,0,3,"Ryan Succop kicks off 66 yards, returned by Marqise Lee for 25 yards (tackle by LeShaun Sims)",0.000,-0.540
1,3:24,1,10,JAX 24,0,3,Blake Bortles pass complete short left to Julius Thomas for 9 yards (tackle by Jason McCourty),0.540,1.210
1,2:47,2,1,JAX 33,0,3,"Chris Ivory right guard for -2 yards. Chris Ivory fumbles, recovered by Chris Ivory at JAX-31",1.210,0.230
1,2:06,3,3,JAX 31,0,3,Blake Bortles pass incomplete short middle intended for Allen Robinson,0.230,-1.310
1,2:02,4,3,JAX 31,0,3,Brad Nortman punts 35 yards,-1.310,-1.200
1,1:52,1,10,TEN 34,0,3,DeMarco Murray right tackle for no gain (tackle by Chris Smith),1.200,0.660
1,1:12,2,10,TEN 34,0,3,Marcus Mariota pass complete short left to Rishard Matthews for 8 yards (tackle by Aaron Colvin),0.660,1.030
1,0:33,3,2,TEN 42,0,3,DeMarco Murray left end for 22 yards (tackle by Paul Posluszny),1.030,3.180
Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 36,0,9,"Marcus Mariota pass complete deep right to Kendall Wright for 36 yards, touchdown",3.180,7.000
2,15:00,,,JAX 36,0,10,Ryan Succop kicks extra point good,0.000,0.000
2,15:00,,,TEN 35,0,10,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,14:53,1,10,JAX 25,0,10,Chris Ivory right tackle for 4 yards (tackle by Jurrell Casey and Wesley Woodyard),0.610,0.600
2,14:15,2,6,JAX 29,0,10,Blake Bortles pass incomplete short middle intended for Julius Thomas,0.600,-0.100
2,14:12,3,6,JAX 29,0,10,Blake Bortles pass incomplete short right intended for Allen Robinson,-0.100,-1.440
2,14:07,4,6,JAX 29,0,10,"Brad Nortman punts 40 yards, fair catch by Marc Mariani",-1.440,-1.000
2,14:01,1,10,TEN 31,0,10,DeMarco Murray left end for 11 yards (tackle by Paul Posluszny),1.000,1.730
2,13:22,1,10,TEN 42,0,10,Derrick Henry right end for 11 yards (tackle by Jalen Ramsey),1.730,2.460
2,13:09,1,10,JAX 47,0,10,Derrick Henry middle for 2 yards (tackle by Dan Skuta),2.460,2.180
2,12:34,2,8,JAX 45,0,10,Derrick Henry middle for no gain (tackle by Telvin Smith),2.180,1.490
2,11:51,3,8,JAX 45,0,10,"Marcus Mariota pass complete short left to Kendall Wright for 15 yards (tackle by Tashaun Gipson). Penalty on Dante Fowler: Unnecessary Roughness, 15 yards",1.490,4.580
2,11:24,1,10,JAX 15,0,10,Marcus Mariota pass incomplete short right intended for Derrick Henry,4.580,3.950
2,11:19,2,10,JAX 15,0,10,Derrick Henry right guard for 9 yards (tackle by Jalen Ramsey),3.950,4.900
2,10:41,3,1,JAX 6,0,16,"Derrick Henry right end for 6 yards, touchdown",4.900,7.000
2,10:41,,,JAX 6,0,17,Ryan Succop kicks extra point good,0.000,0.000
2,10:41,,,TEN 35,0,17,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,10:36,1,10,JAX 25,0,17,Blake Bortles pass complete short left to T.J. Yeldon for 2 yards,0.610,0.330
2,9:50,2,8,JAX 27,0,17,Blake Bortles pass complete short left to Allen Robinson for 4 yards (tackle by Jason McCourty and Sean Spence),0.330,0.170
2,9:07,3,4,JAX 31,0,17,Blake Bortles pass incomplete short left intended for Allen Robinson,0.170,-1.310
2,9:04,4,4,JAX 31,0,17,"Brad Nortman punts 46 yards. Penalty on Arrelious Benn: Interference with Opportunity to, 15 yards",-1.310,-1.470
2,8:52,1,10,TEN 38,0,17,Delanie Walker right end for 3 yards (tackle by Telvin Smith),1.470,1.330
2,8:19,2,7,TEN 41,0,17,Kendall Wright left end for 15 yards (tackle by Tashaun Gipson),1.330,2.650
2,7:39,1,10,JAX 44,0,17,Marcus Mariota pass complete short right to Phillip Supernaw for 30 yards (tackle by Jalen Ramsey),2.650,4.650
2,7:18,1,10,JAX 14,0,23,"DeMarco Murray left end for 14 yards, touchdown",4.650,7.000
2,7:18,,,JAX 14,0,24,Ryan Succop kicks extra point good,0.000,0.000
2,7:18,,,TEN 35,0,24,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,7:09,1,10,JAX 25,0,24,Blake Bortles pass incomplete deep right intended for Allen Robinson,0.610,0.060
2,7:04,2,10,JAX 25,0,24,Blake Bortles pass complete short right to Marqise Lee for 21 yards (tackle by Antwon Blake),0.060,1.990
2,6:30,1,10,JAX 46,0,24,Blake Bortles pass incomplete short right intended for Julius Thomas (defended by Angelo Blackson),1.990,1.450
2,6:27,2,10,JAX 46,0,24,Blake Bortles pass complete short middle to Julius Thomas for 9 yards (tackle by Wesley Woodyard),1.450,1.950
2,5:55,3,1,TEN 45,0,24,Blake Bortles pass complete short left to Allen Robinson for 6 yards (tackle by Jason McCourty),1.950,1.950
2,5:15,3,1,TEN 45,0,24,Timeout #1 by Jacksonville Jaguars,1.950,2.980
2,5:15,1,10,TEN 39,0,24,Blake Bortles right end for no gain (tackle by David Bass),2.980,2.440
2,4:41,2,10,TEN 39,0,24,Blake Bortles pass complete short middle to Marcedes Lewis for 4 yards (tackle by Daimion Stafford),2.440,2.440
2,4:07,2,10,TEN 39,0,24,Timeout #1 by Tennessee Titans,2.440,2.280
2,4:07,3,6,TEN 35,0,24,Blake Bortles sacked by Avery Williamson for -9 yards,2.280,0.330
2,3:25,4,15,TEN 44,0,24,Brad Nortman punts 38 yards,0.330,0.380
