Unnamed: 0,JAX,TEN
First Downs,27,25
Rush-Yds-TDs,11-48-0,43-214-2
Cmp-Att-Yd-TD-INT,33-54-337-3-0,19-23-280-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,322,280
Total Yards,370,494
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,7-75,7-54
Third Down Conv.,6-13,9-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:35,34:25
