Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Kevin Smith right tackle for 7 yards (tackle by Jonathan Vilma),0.280,0.680
1,14:24,2,3,DET 27,0,0,Matthew Stafford pass complete short middle to Calvin Johnson for 22 yards (tackle by Tracy Porter),0.680,2.190
1,13:45,1,10,DET 49,0,0,Titus Young right end for 8 yards (tackle by Jonathan Vilma and Jabari Greer),2.190,2.730
1,13:08,2,2,NOR 43,0,0,Matthew Stafford pass incomplete short right intended for Titus Young (defended by Jabari Greer),2.730,2.010
1,13:05,3,2,NOR 43,0,0,"Penalty on DET: Illegal Substitution, 5 yards (no play)",2.010,1.360
1,13:05,3,7,NOR 48,0,0,Matthew Stafford pass complete short middle to Titus Young for 15 yards (tackle by Jabari Greer),1.360,3.380
1,12:26,1,10,NOR 33,0,0,Matthew Stafford pass complete short right to Titus Young for 11 yards (tackle by Jabari Greer),3.380,4.110
1,11:43,1,10,NOR 22,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 12 yards (tackle by Isa Abdul-Quddus),4.110,4.910
1,11:04,1,10,NOR 10,6,0,"Matthew Stafford pass complete short middle to Will Heller for 10 yards, touchdown",4.910,7.000
1,11:04,,,NOR 2,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,10:58,,,DET 35,7,0,"Jason Hanson kicks off 72 yards, returned by Darren Sproles for 26 yards (tackle by Don Carey)",0.000,0.150
1,10:54,1,10,NOR 19,7,0,Drew Brees pass complete deep right to Devery Henderson for 23 yards (tackle by Chris Houston),0.150,1.730
1,10:16,1,10,NOR 42,7,0,Drew Brees pass complete short left to Jed Collins for 5 yards (tackle by Eric Wright),1.730,1.860
1,9:39,2,5,NOR 47,7,0,Darren Sproles right tackle for 14 yards (tackle by Louis Delmas),1.860,2.980
