Unnamed: 0,TEN,CHI
First Downs,19,15
Rush-Yds-TDs,29-20-1,24-78-1
Cmp-Att-Yd-TD-INT,30-41-289-2-0,20-37-173-1-1
Sacked-Yards,1-5,2-8
Net Pass Yards,284,165
Total Yards,304,243
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,8-55,3-20
Third Down Conv.,7-17,3-14
Fourth Down Conv.,0-1,1-2
Time of Possession,33:16,26:44
