Quarter,Time,Tm,Detail,TEN,CHI
1.0,7:06,Bears,Matt Forte 5 yard pass from Rex Grossman (Robbie Gould kick),0,7
2.0,8:39,Titans,Bo Scaife 10 yard pass from Kerry Collins (Rob Bironas kick),7,7
3.0,11:28,Titans,Justin Gage 12 yard pass from Kerry Collins (Rob Bironas kick),14,7
4.0,12:06,Titans,LenDale White 2 yard rush (Rob Bironas kick),21,7
,4:55,Bears,Rex Grossman 1 yard rush (Robbie Gould kick),21,14
