Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 71 yards, returned by Leon Washington for 40 yards (tackle by John Wendling)",0.000,1.530
1,14:52,1,10,NYJ 39,0,0,Brett Favre pass incomplete short left intended for Chris Baker (defended by Ryan Denney),1.530,0.990
1,14:49,2,10,NYJ 39,0,0,Brett Favre pass complete short left to Leon Washington for 40 yards (tackle by Donte Whitner),0.990,4.170
1,14:02,1,10,BUF 21,0,0,Thomas Jones left guard for 2 yards (tackle by Kyle Williams and Ryan Denney),4.170,3.900
1,13:24,2,8,BUF 19,0,0,Brett Favre pass incomplete short middle intended for Thomas Jones (defended by Ryan Denney),3.900,3.180
1,13:21,3,8,BUF 19,0,0,Brett Favre pass incomplete short left intended for Dustin Keller,3.180,2.180
1,13:17,4,8,BUF 19,3,0,Jay Feely 37 yard field goal good,2.180,3.000
1,,,,NYJ 30,3,0,"Jay Feely kicks off 71 yards, returned by Leodis McKelvin for 44 yards (tackle by Brad Smith)",0.000,1.800
1,13:04,1,10,BUF 43,3,0,Trent Edwards pass complete short right to Marshawn Lynch for 42 yards (tackle by Darrelle Revis),1.800,4.580
1,12:18,1,10,NYJ 15,3,0,Marshawn Lynch left tackle for 1 yard (tackle by Kenyon Coleman and Eric Barton),4.580,4.110
1,11:39,2,9,NYJ 14,3,0,"Trent Edwards pass incomplete short middle intended for Roscoe Parrish. Penalty on Dwight Lowery: Defensive Pass Interference, 5 yards (no play)",4.110,5.140
1,11:33,,,,3,0,Timeout #1 by Buffalo Bills,0.000,5.140
1,11:32,1,9,NYJ 9,3,6,"Trent Edwards pass complete short middle to Derek Fine for 9 yards, touchdown",5.140,7.000
1,,,,NYJ 2,3,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,3,7,"Rian Lindell kicks off 60 yards, returned by Leon Washington for 21 yards (tackle by Justin Jenkins)",0.000,1.000
1,11:19,1,10,NYJ 31,3,7,Brett Favre pass complete short right to Jerricho Cotchery for 9 yards (tackle by Terrence McGee),1.000,1.680
1,10:42,2,1,NYJ 40,3,7,"Brett Favre pass complete short left to Dustin Keller for 5 yards (tackle by Kawika Mitchell). Penalty on Chris Baker: Illegal Motion, 5 yards (no play)",1.680,1.000
1,10:22,2,6,NYJ 35,3,7,Leon Washington right tackle for 5 yards (tackle by Kawika Mitchell and Paul Posluszny),1.000,0.960
1,9:45,3,1,NYJ 40,3,7,Thomas Jones up the middle for -1 yards (tackle by Bryan Scott),0.960,-0.780
1,9:13,4,2,NYJ 39,3,7,"Reggie Hodges punts 46 yards, fair catch by Roscoe Parrish",-0.780,0.220
1,9:06,1,10,BUF 15,3,7,"Trent Edwards sacked by Darrelle Revis for -9 yards. Trent Edwards fumbles (forced by Darrelle Revis), recovered by Darrelle Revis at BUF-6",-0.220,-5.830
1,9:01,1,6,BUF 6,3,7,"Brett Favre for no gain. Brett Favre fumbles, recovered by Leon Washington at BUF-8",5.830,4.570
1,8:20,2,8,BUF 8,3,7,Brett Favre pass incomplete short left intended for Jerricho Cotchery (defended by Spencer Johnson),4.570,3.580
1,8:15,3,8,BUF 8,3,7,Brett Favre pass incomplete short left intended for Laveranues Coles,3.580,2.950
1,8:06,4,8,BUF 8,6,7,Jay Feely 26 yard field goal good,2.950,3.000
1,,,,NYJ 30,6,7,"Jay Feely kicks off 60 yards, returned by Leodis McKelvin for 20 yards (tackle by Wallace Wright)",0.000,0.940
1,7:57,1,10,BUF 30,6,7,"Marshawn Lynch up the middle for 1 yard. Marshawn Lynch fumbles, recovered by Marshawn Lynch at BUF-27",0.940,0.530
1,7:15,2,9,BUF 31,6,7,Trent Edwards pass complete short right to Robert Royal for 7 yards (tackle by Dwight Lowery),0.530,0.760
1,6:35,3,2,BUF 38,6,7,Trent Edwards pass complete short left to Marshawn Lynch for 5 yards (tackle by Calvin Pace),0.760,1.800
1,6:10,1,10,BUF 43,6,7,Marshawn Lynch right tackle for -1 yards (tackle by Darrelle Revis),1.800,1.120
1,5:25,2,11,BUF 42,6,7,"Trent Edwards pass complete short middle to Fred Jackson for 9 yards (tackle by Darrelle Revis). Penalty on Bryan Thomas: Unnecessary Roughness, 14 yards",1.120,3.250
1,4:55,1,10,NYJ 35,6,7,"Penalty on Kris Jenkins: Encroachment, 5 yards (no play)",3.250,3.980
1,4:43,1,5,NYJ 30,6,7,Fred Jackson right guard for no gain (tackle by Kris Jenkins),3.980,3.380
