Unnamed: 0,NYJ,BUF
First Downs,16,18
Rush-Yds-TDs,25-96-1,17-30-0
Cmp-Att-Yd-TD-INT,19-28-201-0-1,24-35-289-1-2
Sacked-Yards,0-0,5-27
Net Pass Yards,201,262
Total Yards,297,292
Fumbles-Lost,1-0,3-1
Turnovers,1,3
Penalties-Yards,5-34,7-45
Third Down Conv.,5-11,8-13
Fourth Down Conv.,0-0,0-1
Time of Possession,29:56,30:04
