Unnamed: 0,JAX,TEN
First Downs,23,21
Rush-Yds-TDs,27-117-2,33-219-4
Cmp-Att-Yd-TD-INT,32-48-272-0-0,14-18-259-2-0
Sacked-Yards,3-20,1-7
Net Pass Yards,252,252
Total Yards,369,471
Fumbles-Lost,1-1,2-2
Turnovers,1,2
Penalties-Yards,11-104,6-54
Third Down Conv.,7-18,4-8
Fourth Down Conv.,1-2,0-0
Time of Possession,36:56,23:04
