Quarter,Time,Tm,Detail,JAX,TEN
2.0,6:29,Titans,Ryan Tannehill 21 yard rush (Ryan Succop kick),0,7
,1:50,Jaguars,Josh Lambo 49 yard field goal,3,7
3.0,13:13,Titans,Dennis Kelly 1 yard pass from Ryan Tannehill (Ryan Succop kick),3,14
,10:40,Titans,Derrick Henry 74 yard rush (Ryan Succop kick),3,21
,10:24,Titans,Derrick Henry 7 yard rush (Ryan Succop kick),3,28
,6:57,Titans,A.J. Brown 65 yard pass from Ryan Tannehill (Ryan Succop kick),3,35
,2:23,Jaguars,Leonard Fournette 1 yard rush (DJ Chark pass from Nick Foles),11,35
4.0,11:50,Jaguars,Leonard Fournette 1 yard rush (pass failed),17,35
,9:47,Titans,Ryan Tannehill 3 yard rush (Ryan Succop kick),17,42
,4:48,Jaguars,Josh Lambo 50 yard field goal,20,42
