Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 66 yards, returned by Michael Walker for 29 yards (tackle by Amani Hooker)",0.000,0.810
1,14:53,1,10,JAX 28,0,0,Leonard Fournette right tackle for 3 yards (tackle by Kamalei Correa and Jeffery Simmons),0.810,0.670
1,14:15,2,7,JAX 31,0,0,Leonard Fournette right tackle for 1 yard (tackle by Jayon Brown and Rashaan Evans),0.670,0.100
1,13:29,3,6,JAX 32,0,0,Nick Foles pass complete short left to Chris Conley for 14 yards (tackle by Adoree' Jackson),0.100,1.990
1,13:02,1,10,JAX 46,0,0,Nick Foles pass incomplete short right,1.990,1.450
1,12:56,2,10,JAX 46,0,0,Leonard Fournette left tackle for 15 yards (tackle by Kenny Vaccaro),1.450,2.980
1,12:11,1,10,TEN 39,0,0,Leonard Fournette up the middle for 1 yard (tackle by Harold Landry and Jurrell Casey),2.980,2.580
1,11:30,2,9,TEN 38,0,0,Nick Foles pass complete short left to Chris Conley for 10 yards (tackle by LeShaun Sims),2.580,3.710
1,10:49,1,10,TEN 28,0,0,Leonard Fournette up the middle for 5 yards (tackle by Austin Johnson and Jayon Brown),3.710,3.840
1,10:12,2,5,TEN 23,0,0,"Leonard Fournette left guard for 7 yards (tackle by Austin Johnson). Penalty on Brandon Linder: Offensive Holding, 10 yards (no play)",3.840,2.490
1,9:41,2,15,TEN 33,0,0,Nick Foles pass incomplete deep left intended for Chris Conley,2.490,1.820
1,9:36,3,15,TEN 33,0,0,Nick Foles sacked by Harold Landry for -8 yards,1.820,0.530
1,9:01,4,23,TEN 41,0,0,Logan Cooke punts 30 yards downed by Brandon Watson,0.530,0.370
1,8:52,1,10,TEN 11,0,0,Ryan Tannehill right end for 20 yards (tackle by Jarrod Wilson),-0.370,1.000
1,8:23,1,10,TEN 31,0,0,Derrick Henry up the middle for 2 yards (tackle by Quincy Williams),1.000,0.730
1,7:48,2,8,TEN 33,0,0,Ryan Tannehill pass incomplete short middle intended for A.J. Brown (defended by Tre Herndon),0.730,0.040
1,7:44,3,8,TEN 33,0,0,Ryan Tannehill pass complete short left to Dion Lewis for 24 yards (tackle by A.J. Bouye),0.040,2.720
1,7:01,1,10,JAX 43,0,0,Derrick Henry up the middle for no gain (tackle by Jarrod Wilson and Taven Bryan),2.720,2.180
1,6:17,2,10,JAX 43,0,0,Derrick Henry right guard for 2 yards (tackle by Leon Jacobs),2.180,1.750
1,5:36,3,8,JAX 41,0,0,Ryan Tannehill pass incomplete short right,1.750,0.530
1,5:30,4,8,JAX 41,0,0,Brett Kern punts 35 yards downed by Christopher Milton,0.530,0.380
1,5:21,1,10,JAX 6,0,0,Leonard Fournette left end for -3 yards (tackle by Adoree' Jackson),-0.380,-1.000
1,4:37,2,13,JAX 3,0,0,Nick Foles pass complete short left to Leonard Fournette for 6 yards (tackle by Jayon Brown and LeShaun Sims),-1.000,-1.070
1,4:10,3,7,JAX 9,0,0,Nick Foles pass incomplete deep left intended for Chris Conley,-1.070,-2.490
1,4:04,4,7,JAX 9,0,0,"Logan Cooke punts 55 yards, returned by Adam Humphries for 1 yard (tackle by Michael Walker)",-2.490,-1.400
1,3:51,1,10,TEN 37,0,0,Derrick Henry left guard for no gain (tackle by Myles Jack and Taven Bryan),1.400,0.860
1,3:17,2,10,TEN 37,0,0,Ryan Tannehill pass complete short right to A.J. Brown for 19 yards (tackle by Tre Herndon and A.J. Bouye),0.860,2.650
1,2:40,1,10,JAX 44,0,0,Derrick Henry right guard for 3 yards (tackle by Josh Allen),2.650,2.520
1,2:19,2,7,JAX 41,0,0,Ryan Tannehill pass complete short right to MyCole Pruitt for 20 yards (tackle by Ronnie Harrison),2.520,4.170
1,1:53,1,10,JAX 21,0,0,Kalif Raymond left end for -5 yards (tackle by Quincy Williams),4.170,2.950
1,1:14,2,15,JAX 26,0,0,"Ryan Tannehill pass complete short left to Derrick Henry for 16 yards. Penalty on Jonnu Smith: Offensive Holding, 10 yards",2.950,3.760
1,1:04,2,9,JAX 20,0,0,Ryan Tannehill pass complete short middle to Adam Humphries for 8 yards (tackle by Myles Jack),3.760,4.490
1,0:35,3,1,JAX 12,0,0,Derrick Henry up the middle for 2 yards (tackle by Myles Jack and Taven Bryan),4.490,4.910
Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
