Unnamed: 0,PHI,DEN
First Downs,12,28
Rush-Yds-TDs,19-79-0,36-255-3
Cmp-Att-Yd-TD-INT,12-34-283-3-2,22-35-309-4-0
Sacked-Yards,2-11,1-0
Net Pass Yards,272,309
Total Yards,351,564
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,10-70,6-50
Third Down Conv.,3-13,6-14
Fourth Down Conv.,0-1,1-1
Time of Possession,23:00,37:00
