Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"Jose Cortez kicks off 70 yards, returned by Darrent Williams for 26 yards (tackle by Juqua Thomas)",0.000,0.670
1,14:54,1,10,DEN 26,0,0,Jake Plummer pass incomplete intended for Kyle Johnson,0.670,0.130
1,14:49,2,10,DEN 26,0,0,Jake Plummer pass complete to Jeb Putzier for 11 yards (tackle by Brian Dawkins),0.130,1.400
1,14:08,1,10,DEN 37,0,0,Mike Anderson left tackle for 3 yards (tackle by Jeremiah Trotter),1.400,1.260
1,13:29,2,7,DEN 40,0,0,Mike Anderson right tackle for 6 yards (tackle by Dhani Jones and Hollis Thomas),1.260,1.360
1,12:47,3,1,DEN 46,0,0,"Mike Anderson right tackle for 3 yards (tackle by Dhani Jones). Penalty on Hollis Thomas: Face Mask (5 Yards), 5 yards",1.360,2.520
1,12:23,,,,0,0,Timeout #1 by Denver Broncos,0.000,2.520
1,12:22,1,10,PHI 46,0,0,Jake Plummer pass complete to Ashley Lelie for 32 yards (tackle by Brian Dawkins),2.520,4.650
1,11:40,1,10,PHI 14,0,0,Jake Plummer pass incomplete intended for Kyle Johnson,4.650,4.000
1,11:34,2,10,PHI 14,0,0,Jake Plummer pass complete to Stephen Alexander for 4 yards (tackle by Jeremiah Trotter),4.000,3.820
1,11:00,3,6,PHI 10,0,0,Jake Plummer pass complete to Charlie Adams for 8 yards (tackle by Lito Sheppard),3.820,6.740
1,10:21,1,2,PHI 2,0,6,"Mike Anderson up the middle for 2 yards, touchdown",6.740,7.000
1,,,,PHI 2,0,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Todd Sauerbrun kicks off 67 yards, returned by Roderick Hood for 20 yards (tackle by Louis Green)",0.000,0.480
1,10:11,1,10,PHI 23,0,7,Donovan McNabb pass incomplete intended for Terrell Owens,0.480,-0.070
1,10:09,2,10,PHI 23,0,7,Donovan McNabb pass incomplete,-0.070,-0.760
1,10:05,,,,0,7,Timeout #1 by Philadelphia Eagles,0.000,-0.760
1,10:05,3,10,PHI 23,0,7,Donovan McNabb pass incomplete intended for Greg Lewis,-0.760,-1.830
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
1,10:02,4,10,PHI 23,0,7,"Dirk Johnson punts 42 yards, fair catch by Darrent Williams",-1.830,-1.270
1,9:54,1,10,DEN 35,0,7,"Jake Plummer pass incomplete intended for Jeb Putzier. Penalty on Roderick Hood: Defensive Pass Interfere, 10 yards (no play)",1.270,1.930
1,9:48,1,10,DEN 45,0,7,Tatum Bell right guard for -1 yards (tackle by Jeremiah Trotter),1.930,1.250
1,9:13,2,11,DEN 44,0,7,Jake Plummer sacked by Jevon Kearse for 0 yards,1.250,0.560
1,8:51,3,11,DEN 44,0,7,Jake Plummer pass complete to Todd Devoe for 9 yards (tackle by Jeremiah Trotter),0.560,0.130
1,8:23,4,2,PHI 47,0,7,"Todd Sauerbrun punts 47 yards, touchback",0.130,-0.280
1,8:13,1,10,PHI 20,0,7,Donovan McNabb pass incomplete intended for Greg Lewis,0.280,-0.270
1,8:08,2,10,PHI 20,0,7,Donovan McNabb pass incomplete intended for Terrell Owens,-0.270,-0.960
1,8:04,3,10,PHI 20,0,7,Donovan McNabb pass incomplete intended for L.J. Smith (defended by Trevor Pryce),-0.960,-2.030
1,8:01,4,10,PHI 20,0,7,"Dirk Johnson punts 38 yards, muffed catch by Darrent Williams, ball out of bounds at DEN-45. Penalty on Keith Adams: Ineligible Downfield Kic, 5 yards",-2.030,-2.260
1,7:54,1,10,DEN 50,0,7,Mike Anderson left tackle for 7 yards (tackle by N.D. Kalu),2.260,2.660
1,7:20,2,3,PHI 43,0,7,Mike Anderson left tackle for 10 yards (tackle by Michael Lewis and Keith Adams),2.660,3.380
1,6:39,1,10,PHI 33,0,7,Mike Anderson right guard for 3 yards (tackle by N.D. Kalu),3.380,3.240
1,6:05,2,7,PHI 30,0,7,Jake Plummer pass complete to Mike Anderson for 16 yards (tackle by Jeremiah Trotter),3.240,4.650
1,5:20,1,10,PHI 14,0,7,Tatum Bell left guard for 3 yards (tackle by Hollis Thomas),4.650,4.520
1,4:40,2,7,PHI 11,0,7,"Jake Plummer pass incomplete intended for Stephen Alexander. Penalty on Michael Lewis: Defensive Holding, 5 yards (no play)",4.520,5.830
1,4:35,1,6,PHI 6,0,13,"Jake Plummer pass complete to Kyle Johnson for 6 yards, touchdown",5.830,7.000
1,,,,PHI 2,0,14,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,0,14,"Todd Sauerbrun kicks off 62 yards, returned by Roderick Hood for 23 yards (tackle by Karl Paymah)",0.000,1.000
1,4:24,1,10,PHI 31,0,14,Brian Westbrook right end for 2 yards (tackle by Al Wilson),1.000,0.730
1,3:38,2,8,PHI 33,0,14,Donovan McNabb right end for 2 yards (tackle by Ian Gold),0.730,0.300
1,3:11,3,6,PHI 35,0,14,Donovan McNabb pass incomplete intended for Reggie Brown (defended by Domonique Foxworth),0.300,-1.040
1,3:07,4,6,PHI 35,0,14,"Dirk Johnson punts 39 yards, returned by Charlie Adams for -2 yards (tackle by Matt Ware)",-1.040,-0.540
1,2:58,1,10,DEN 24,0,14,Jake Plummer pass complete to Rod Smith for 32 yards (tackle by Lito Sheppard),0.540,2.650
1,2:13,1,10,PHI 44,0,14,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Sheldon Brown),2.650,2.110
1,2:06,2,10,PHI 44,0,14,Mike Anderson left guard for 6 yards (tackle by Michael Lewis),2.110,2.210
1,1:27,,,,0,14,Timeout #2 by Denver Broncos,0.000,2.210
1,1:27,3,4,PHI 38,0,14,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Brian Dawkins),2.210,0.720
1,1:20,4,4,PHI 38,0,14,Todd Sauerbrun punts 35 yards,0.720,0.380
1,1:07,1,10,PHI 3,0,14,Donovan McNabb pass incomplete intended for Terrell Owens (defended by Champ Bailey),-0.380,-0.780
1,1:04,2,10,PHI 3,0,14,Donovan McNabb pass incomplete intended for L.J. Smith,-0.780,-1.420
1,1:00,,,,0,14,Timeout #2 by Philadelphia Eagles,0.000,-1.420
1,1:00,3,10,PHI 3,0,14,Donovan McNabb pass incomplete intended for Brian Westbrook (defended by Ian Gold),-1.420,-2.490
1,0:55,4,10,PHI 3,0,14,"Dirk Johnson punts 48 yards, returned by Darrent Williams for 1 yard (tackle by Zeke Moreno). Penalty on Curome Cox: Offensive Holding, 10 yards",-2.490,-1.600
1,0:43,1,10,DEN 40,0,14,Jake Plummer pass complete to Ashley Lelie for 37 yards,1.600,4.040
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
1,0:28,1,10,PHI 23,0,14,Tatum Bell left end for 3 yards (tackle by Hollis Thomas),4.040,3.900
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 20,0,14,Tatum Bell left end for 1 yard (tackle by Jeremiah Trotter and Dhani Jones),3.900,3.340
2,14:19,3,6,PHI 19,0,14,Jake Plummer pass complete to Charlie Adams for 10 yards (tackle by Jeremiah Trotter),3.340,5.140
2,13:39,1,9,PHI 9,0,14,Tatum Bell right tackle for 6 yards (tackle by Michael Lewis),5.140,5.530
2,12:59,2,3,PHI 3,0,14,Mike Anderson up the middle for 1 yard (tackle by Brian Dawkins),5.530,4.950
2,12:22,3,2,PHI 2,0,20,"Jake Plummer pass complete to Rod Smith for 2 yards, touchdown",4.950,7.000
2,,,,PHI 2,0,21,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,0,21,"Todd Sauerbrun kicks off 67 yards, returned by Roderick Hood for 29 yards (tackle by Marques Anderson)",0.000,1.070
2,12:11,1,10,PHI 32,0,21,Brian Westbrook left tackle for 10 yards (tackle by Ian Gold),1.070,1.730
2,11:23,1,10,PHI 42,0,21,Brian Westbrook left end for 2 yards (tackle by Domonique Foxworth),1.730,1.460
2,11:06,2,8,PHI 44,0,21,Donovan McNabb pass incomplete intended for Terrell Owens is intercepted by John Lynch at PHI-49 and returned for 1 yard,1.460,-2.390
2,10:59,1,10,PHI 48,0,21,"Jake Plummer up the middle for 22 yards (tackle by Dhani Jones). Penalty on Keith Adams: Defensive Holding, 5 yards",2.390,4.170
2,10:28,1,10,PHI 21,0,21,Tatum Bell left end for 5 yards (tackle by Keith Adams),4.170,4.370
2,9:55,2,5,PHI 16,0,21,Mike Anderson left guard for 4 yards (tackle by Keith Adams),4.370,4.490
2,9:14,3,1,PHI 12,0,21,Mike Anderson right guard for 6 yards (tackle by Sheldon Brown),4.490,5.830
2,8:34,1,6,PHI 6,0,21,Mike Anderson left tackle for 3 yards (tackle by Jeremiah Trotter),5.830,5.530
2,7:53,2,3,PHI 3,0,27,"Jake Plummer pass complete to Stephen Alexander for 3 yards, touchdown",5.530,7.000
2,,,,PHI 2,0,28,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,0,28,"Todd Sauerbrun kicks off 68 yards, returned by Roderick Hood for 19 yards (tackle by Curome Cox)",0.000,0.340
2,7:41,1,10,PHI 21,0,28,Donovan McNabb up the middle for 11 yards (tackle by Al Wilson),0.340,1.070
2,7:12,1,10,PHI 32,0,28,Donovan McNabb pass incomplete intended for Terrell Owens,1.070,0.530
2,7:07,2,10,PHI 32,0,28,Donovan McNabb pass complete to Brian Westbrook for 4 yards (tackle by Ian Gold),0.530,0.370
2,6:24,3,6,PHI 36,0,28,Donovan McNabb pass incomplete intended for Greg Lewis (defended by Domonique Foxworth),0.370,-0.980
2,6:17,4,6,PHI 36,0,28,"Dirk Johnson punts 40 yards, returned by Darrent Williams for -2 yards (tackle by Sean Considine). Penalty on Roc Alexander: Illegal Block Above the , 10 yards",-0.980,0.350
2,6:01,1,10,DEN 12,0,28,Jake Plummer pass complete to Rod Smith for 23 yards (tackle by Lito Sheppard),-0.350,1.270
2,5:31,1,10,DEN 35,0,28,Jake Plummer pass complete to Ashley Lelie for 12 yards (tackle by Lito Sheppard),1.270,2.060
2,4:49,1,10,DEN 47,0,28,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Sheldon Brown),2.060,1.520
2,4:42,2,10,DEN 47,0,28,Jake Plummer pass incomplete intended for Charlie Adams,1.520,0.830
