Quarter,Time,Tm,Detail,KAN,BAL
1.0,10:19,Ravens,Stephen Hauschka 44 yard field goal,0,3
,2:04,Ravens,Willis McGahee 3 yard pass from Joe Flacco (Stephen Hauschka kick),0,10
2.0,9:55,Chiefs,Jon McGraw blocked punt recovery in end zone (Ryan Succop kick),7,10
3.0,8:52,Chiefs,Dwayne Bowe 2 yard pass from Brodie Croyle (Ryan Succop kick),14,10
,3:57,Ravens,Todd Heap 9 yard pass from Joe Flacco (Stephen Hauschka kick),14,17
4.0,11:57,Chiefs,Ryan Succop 53 yard field goal,17,17
,8:10,Ravens,Le'Ron McClain 1 yard rush (Stephen Hauschka kick),17,24
,5:21,Chiefs,Sean Ryan 10 yard pass from Brodie Croyle (Ryan Succop kick),24,24
,2:06,Ravens,Mark Clayton 31 yard pass from Joe Flacco (Stephen Hauschka kick),24,31
,0:31,Ravens,Willis McGahee 1 yard rush (Stephen Hauschka kick),24,38
