Unnamed: 0,KAN,BAL
First Downs,11,32
Rush-Yds-TDs,17-29-0,41-198-2
Cmp-Att-Yd-TD-INT,16-24-177-2-0,26-43-307-3-1
Sacked-Yards,3-18,1-4
Net Pass Yards,159,303
Total Yards,188,501
Fumbles-Lost,2-0,1-0
Turnovers,0,1
Penalties-Yards,3-15,8-65
Third Down Conv.,2-10,10-17
Fourth Down Conv.,1-2,1-1
Time of Possession,20:11,39:49
