Quarter,Time,Tm,Detail,NWE,HOU
1,2:36,Texans,Kris Brown 19 yard field goal,0,3
2,13:12,Patriots,Bethel Johnson 27 yard pass from Tom Brady (Adam Vinatieri kick),7,3
,5:55,Patriots,Adam Vinatieri 21 yard field goal,10,3
3,4:01,Texans,Andre Johnson 10 yard pass from Tony Banks (Kris Brown kick),10,10
4,14:57,Patriots,Adam Vinatieri 32 yard field goal,13,10
,6:49,Texans,Billy Miller 16 yard pass from Tony Banks (Kris Brown kick),13,17
,3:11,Texans,Kris Brown 31 yard field goal,13,20
,0:40,Patriots,Daniel Graham 4 yard pass from Tom Brady (Adam Vinatieri kick),20,20
OT,0:41,Patriots,Adam Vinatieri 28 yard field goal,23,20
