Unnamed: 0,IND,SFO
First Downs,23,14
Rush-Yds-TDs,40-184-3,23-115-1
Cmp-Att-Yd-TD-INT,17-26-159-0-0,13-27-150-0-1
Sacked-Yards,1-7,3-11
Net Pass Yards,152,139
Total Yards,336,254
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,1-10,6-48
Third Down Conv.,5-12,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,36:25,23:35
