Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Phil Dawson kicks off 74 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,"Andrew Luck pass complete short right to Ahmad Bradshaw for 3 yards (tackle by Donte Whitner). Penalty on Donte Whitner: Unnecessary Roughness, 15 yards",0.280,1.470
1,14:36,1,10,IND 38,0,0,"Andrew Luck pass incomplete short left intended for T.Y. Hilton. Penalty on Tarell Brown: Defensive Pass Interference, 9 yards (no play)",1.470,2.060
1,14:32,1,10,IND 47,0,0,Andrew Luck pass complete short right to Darrius Heyward-Bey for 14 yards,2.060,2.980
1,14:00,1,10,SFO 39,0,0,Andrew Luck pass complete short right to Ahmad Bradshaw for 6 yards (tackle by Ahmad Brooks),2.980,3.250
1,13:29,2,4,SFO 33,0,0,Ahmad Bradshaw left tackle for 7 yards (tackle by Donte Whitner),3.250,3.840
1,12:49,1,10,SFO 26,0,0,Andrew Luck pass complete short right to Darrius Heyward-Bey for 19 yards (tackle by Patrick Willis),3.840,5.600
1,12:03,1,7,SFO 7,0,0,Andrew Luck pass complete short left to Coby Fleener for 6 yards (tackle by Donte Whitner and Patrick Willis),5.600,5.910
1,11:23,2,1,SFO 1,6,0,"Trent Richardson right guard for 1 yard, touchdown",5.910,7.000
1,11:23,,,SFO 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,11:23,,,IND 35,7,0,"Pat McAfee kicks off 72 yards, returned by Kendall Hunter for 20 yards (tackle by Mario Harvey)",0.000,0.320
1,11:15,1,10,SFO 13,7,0,Frank Gore left guard for 7 yards (tackle by Antoine Bethea and Kelvin Sheppard),-0.320,0.220
1,10:37,2,3,SFO 20,7,0,Colin Kaepernick pass incomplete short right intended for Kyle Williams,0.220,-0.590
1,10:34,3,3,SFO 20,7,0,Kendall Hunter left end for 2 yards (tackle by Kavell Conner and Jerrell Freeman),-0.590,-1.900
1,9:58,4,1,SFO 22,7,0,"Andy Lee punts 47 yards, fair catch by T.Y. Hilton",-1.900,-1.000
1,9:51,1,10,IND 31,7,0,Andrew Luck pass complete short left to T.Y. Hilton for 8 yards (tackle by NaVorro Bowman),1.000,1.540
1,9:08,2,2,IND 39,7,0,Andrew Luck pass incomplete short right intended for Trent Richardson (defended by NaVorro Bowman),1.540,0.830
1,9:03,3,2,IND 39,7,0,Andrew Luck pass incomplete short right intended for T.Y. Hilton,0.830,-0.780
1,8:59,4,2,IND 39,7,0,Pat McAfee punts 52 yards,-0.780,0.380
1,8:47,1,10,SFO 9,7,0,Colin Kaepernick pass complete short right to Anquan Boldin for 14 yards (tackle by Antoine Bethea),-0.380,0.480
1,8:05,1,10,SFO 23,7,0,Colin Kaepernick pass incomplete short left intended for Vance McDonald (defended by Kelvin Sheppard),0.480,-0.070
1,8:03,2,10,SFO 23,7,0,Colin Kaepernick right end for 14 yards (tackle by Jerrell Freeman),-0.070,1.400
1,7:32,1,10,SFO 37,7,0,Frank Gore right end for 22 yards (tackle by Antoine Bethea),1.400,2.850
1,6:54,1,10,IND 41,7,0,Frank Gore up the middle for 11 yards (tackle by Greg Toler and Erik Walden),2.850,3.580
1,6:14,1,10,IND 30,7,0,Colin Kaepernick sacked by Robert Mathis for -1 yards,3.580,2.900
1,5:47,2,11,IND 31,7,0,Frank Gore right end for 21 yards (tackle by Fili Moala),2.900,4.910
1,5:02,1,10,IND 10,7,0,Kendall Hunter left tackle for -3 yards (tackle by Cory Redding and Josh Chapman),4.910,3.720
1,4:20,2,13,IND 13,7,6,"Kendall Hunter up the middle for 13 yards, touchdown",3.720,7.000
1,4:20,,,IND 2,7,7,Phil Dawson kicks extra point good,0.000,0.000
1,4:20,,,SFO 35,7,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
1,4:13,1,10,IND 20,7,7,Trent Richardson right guard for no gain (tackle by Glenn Dorsey and Ahmad Brooks),0.280,-0.270
1,3:40,2,10,IND 20,7,7,Andrew Luck pass incomplete short middle intended for Reggie Wayne,-0.270,-0.960
1,3:35,3,10,IND 20,7,7,Andrew Luck sacked by Aldon Smith for -7 yards,-0.960,-2.490
1,3:05,4,17,IND 13,7,7,"Pat McAfee punts 51 yards, returned by Kyle Williams for 14 yards (tackle by Cam Johnson)",-2.490,-2.260
1,2:53,1,10,,7,7,Frank Gore up the middle for 5 yards (tackle by Jerrell Freeman),2.260,2.390
1,2:26,2,5,IND 45,7,7,Frank Gore left guard for 1 yard (tackle by Aubrayo Franklin),2.390,1.820
1,1:47,3,4,IND 44,7,7,Colin Kaepernick pass incomplete short left intended for Kyle Williams,1.820,0.330
1,1:42,4,4,IND 44,7,7,"Andy Lee punts 24 yards, fair catch by T.Y. Hilton",0.330,-0.280
1,1:33,1,10,IND 20,7,7,Ahmad Bradshaw up the middle for 4 yards (tackle by Justin Smith),0.280,0.270
1,0:53,2,6,IND 24,7,7,Ahmad Bradshaw left guard for 13 yards (tackle by Ahmad Brooks),0.270,1.400
1,0:11,1,10,IND 37,7,7,Ahmad Bradshaw right tackle for 6 yards (tackle by NaVorro Bowman and Justin Smith),1.400,1.670
Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,IND 43,7,7,Ahmad Bradshaw up the middle for 2 yards (tackle by Ray McDonald),1.670,1.220
2,14:19,3,2,IND 45,7,7,Ahmad Bradshaw left guard for 1 yard (tackle by Ray McDonald and Eric Reid),1.220,-0.320
2,13:45,4,1,IND 46,7,7,"Pat McAfee punts 46 yards, fair catch by Kyle Williams",-0.320,0.380
2,13:41,1,10,SFO 8,7,7,Frank Gore up the middle for 3 yards (tackle by Jerrell Freeman and Josh Chapman),-0.380,-0.560
2,13:07,2,7,SFO 11,7,7,"Penalty on Anthony Davis: False Start, 5 yards (no play)",-0.560,-0.930
2,12:45,2,12,SFO 6,7,7,Colin Kaepernick up the middle for 5 yards (tackle by Josh Chapman),-0.930,-1.070
2,12:01,3,7,SFO 11,7,7,Colin Kaepernick pass incomplete short middle intended for Quinton Patton (defended by Delano Howell),-1.070,-2.490
2,11:57,4,7,SFO 11,7,7,"Andy Lee punts 56 yards, returned by T.Y. Hilton for 12 yards (tackle by C.J. Spillman)",-2.490,-1.930
2,11:48,1,10,IND 45,7,7,Reggie Wayne right end for 5 yards (tackle by Patrick Willis),1.930,2.060
2,11:18,2,5,,7,7,Andrew Luck pass complete short left to Darrius Heyward-Bey for 15 yards (tackle by Tarell Brown),2.060,3.250
2,10:37,1,10,SFO 35,7,7,Trent Richardson right guard for 3 yards (tackle by Ahmad Brooks and Tony Jerod-Eddie),3.250,3.110
2,9:56,2,7,SFO 32,7,7,Andrew Luck up the middle for 4 yards (tackle by NaVorro Bowman),3.110,2.940
2,9:08,3,3,SFO 28,7,7,"Andrew Luck pass incomplete short right intended for Reggie Wayne. Penalty on Tarell Brown: Defensive Holding, 5 yards (no play)",2.940,4.040
2,9:04,1,10,SFO 23,7,7,Trent Richardson up the middle for 4 yards (tackle by NaVorro Bowman),4.040,4.050
2,8:19,2,6,SFO 19,7,7,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,4.050,3.340
2,8:13,3,6,SFO 19,7,7,"Andrew Luck pass complete short left to Reggie Wayne for 5 yards (tackle by NaVorro Bowman). Penalty on Mike McGlynn: Illegal Use of Hands, 10 yards (no play)",3.340,2.010
2,7:38,3,16,SFO 29,7,7,Andrew Luck pass complete short left to Darrius Heyward-Bey for 4 yards (tackle by Eric Reid),2.010,1.800
2,7:00,4,12,SFO 25,10,7,Adam Vinatieri 43 yard field goal good,1.800,3.000
2,7:00,,,IND 35,10,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,7:00,1,10,SFO 20,10,7,Colin Kaepernick up the middle for 3 yards (tackle by Bjoern Werner),0.280,0.140
2,6:18,2,7,SFO 23,10,7,Anthony Dixon right end for -1 yards (tackle by Kelvin Sheppard),0.140,-0.690
2,5:32,3,8,SFO 22,10,7,Colin Kaepernick pass complete short middle to Anquan Boldin for 24 yards (tackle by Delano Howell),-0.690,1.990
2,4:57,1,10,SFO 46,10,7,Frank Gore up the middle for no gain (tackle by Josh Chapman),1.990,1.450
2,4:25,2,10,SFO 46,10,7,Colin Kaepernick pass incomplete short left intended for Anquan Boldin,1.450,0.760
2,4:20,3,10,SFO 46,10,7,Colin Kaepernick pass incomplete short middle intended for Frank Gore,0.760,-0.320
2,4:11,4,10,SFO 46,10,7,"Andy Lee punts 43 yards, returned by T.Y. Hilton for 4 yards (tackle by Bruce Miller)",-0.320,0.220
2,4:01,1,10,IND 15,10,7,Trent Richardson left end for 7 yards (tackle by NaVorro Bowman),-0.220,0.350
2,3:21,2,3,IND 22,10,7,Andrew Luck pass complete short left to Reggie Wayne for no gain,0.350,0.350
2,3:21,2,3,IND 22,10,7,Timeout #1 by Indianapolis Colts,0.350,-0.510
2,2:35,3,3,IND 22,10,7,Andrew Luck pass complete short middle to Ahmad Bradshaw for 7 yards (tackle by Donte Whitner),-0.510,0.870
2,2:05,1,10,IND 29,10,7,Trent Richardson left tackle for 4 yards (tackle by Patrick Willis),0.870,0.870
2,1:59,2,6,IND 33,10,7,Andrew Luck pass complete short right to Coby Fleener for 7 yards (tackle by NaVorro Bowman),0.870,1.600
2,1:38,1,10,IND 40,10,7,Donald Brown up the middle for 9 yards (tackle by Ray McDonald),1.600,2.270
2,1:20,2,1,IND 49,10,7,Andrew Luck pass incomplete short middle intended for Donald Brown,2.270,1.550
2,1:14,3,1,IND 49,10,7,Donald Brown left guard for no gain (tackle by Patrick Willis),1.550,1.550
2,0:29,3,1,IND 49,10,7,Timeout #2 by Indianapolis Colts,1.550,-0.130
2,0:29,4,1,IND 49,10,7,"Pat McAfee punts 43 yards, fair catch by Kyle Williams",-0.130,0.380
2,0:21,1,10,SFO 8,10,7,Colin Kaepernick kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,10,7,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SFO 20,10,7,Frank Gore left tackle for 7 yards (tackle by Robert Mathis),0.280,0.680
3,14:25,2,3,SFO 27,10,7,Frank Gore right guard for 5 yards (tackle by Aubrayo Franklin),0.680,1.070
3,13:47,1,10,SFO 32,10,7,Colin Kaepernick pass complete short left to Vance McDonald for 6 yards (tackle by Kelvin Sheppard),1.070,1.340
3,13:11,2,4,SFO 38,10,7,Frank Gore up the middle for no gain (tackle by Jerrell Freeman),1.340,0.630
