Quarter,Time,Tm,Detail,IND,SFO
1.0,11:20,Colts,Trent Richardson 1 yard rush (Adam Vinatieri kick),7,0
,4:13,49ers,Kendall Hunter 13 yard rush (Phil Dawson kick),7,7
2.0,7:00,Colts,Adam Vinatieri 43 yard field goal,10,7
3.0,6:46,Colts,Adam Vinatieri 41 yard field goal,13,7
4.0,4:13,Colts,Andrew Luck 6 yard rush (Adam Vinatieri kick),20,7
,2:55,Colts,Ahmad Bradshaw 1 yard rush (Adam Vinatieri kick),27,7
