Quarter,Time,Tm,Detail,MIA,TAM
1.0,9:05,Buccaneers,Joey Galloway 7 yard pass from Brian Griese (Matt Bryant kick),0,7
,5:16,Dolphins,Olindo Mare 47 yard field goal,3,7
,1:10,Buccaneers,Matt Bryant 36 yard field goal,3,10
3.0,11:46,Dolphins,Olindo Mare 53 yard field goal,6,10
,4:32,Buccaneers,Matt Bryant 32 yard field goal,6,13
,1:32,Buccaneers,Michael Pittman 57 yard rush (Matt Bryant kick),6,20
,0:06,Buccaneers,Will Allen 33 yard defensive fumble return (Matt Bryant kick),6,27
4.0,9:56,Dolphins,Ronnie Brown 8 yard rush (Olindo Mare kick),13,27
