Unnamed: 0,MIA,TAM
First Downs,13,15
Rush-Yds-TDs,18-64-1,34-180-1
Cmp-Att-Yd-TD-INT,21-43-267-0-0,18-26-189-1-0
Sacked-Yards,4-24,3-27
Net Pass Yards,243,162
Total Yards,307,342
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,9-60,9-65
Third Down Conv.,3-14,8-17
Fourth Down Conv.,1-3,0-0
Time of Possession,24:21,35:39
