Quarter,Time,Tm,Detail,TAM,MIN
1.0,0:02,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),0,7
2.0,5:06,Vikings,Ryan Longwell 22 yard field goal,0,10
,0:52,Vikings,Adrian Peterson 9 yard rush (Ryan Longwell kick),0,17
3.0,10:59,Buccaneers,LeGarrette Blount 27 yard rush (Connor Barth kick),7,17
,0:29,Buccaneers,Connor Barth 36 yard field goal,10,17
4.0,9:41,Vikings,Ryan Longwell 29 yard field goal,10,20
,6:39,Buccaneers,Arrelious Benn 25 yard pass from Josh Freeman (Connor Barth kick),17,20
,0:31,Buccaneers,LeGarrette Blount 4 yard rush (Connor Barth kick),24,20
