Unnamed: 0,TAM,MIN
First Downs,19,25
Rush-Yds-TDs,19-105-2,33-186-2
Cmp-Att-Yd-TD-INT,22-31-243-1-1,18-30-228-0-0
Sacked-Yards,2-13,2-16
Net Pass Yards,230,212
Total Yards,335,398
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,6-53,8-65
Third Down Conv.,7-12,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,26:30,33:30
