Quarter,Time,Tm,Detail,CAR,DET
1.0,9:41,Lions,David Montgomery 42 yard rush (Riley Patterson kick),0,7
,4:53,Lions,Sam LaPorta 4 yard pass from Jared Goff (Riley Patterson kick),0,14
2.0,12:48,Panthers,Tommy Tremble 1 yard pass from Bryce Young (Eddy Pineiro kick),7,14
,3:50,Lions,Josh Reynolds 1 yard pass from Jared Goff (Riley Patterson kick),7,21
,3:21,Lions,Sam LaPorta 31 yard pass from Jared Goff (Riley Patterson kick),7,28
,0:06,Panthers,Eddy Pineiro 33 yard field goal,10,28
4.0,14:58,Lions,Jared Goff 1 yard rush (Riley Patterson kick),10,35
,11:52,Panthers,DJ Chark 18 yard pass from Bryce Young (Eddy Pineiro kick),17,35
,7:27,Lions,Craig Reynolds 5 yard rush (Riley Patterson kick),17,42
,1:55,Panthers,Adam Thielen 1 yard pass from Bryce Young (Eddy Pineiro kick),24,42
