Unnamed: 0,CAR,DET
First Downs,26,23
Rush-Yds-TDs,23-99-0,30-159-3
Cmp-Att-Yd-TD-INT,25-41-247-3-2,20-28-236-3-0
Sacked-Yards,1-4,2-18
Net Pass Yards,243,218
Total Yards,342,377
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,7-45,5-35
Third Down Conv.,5-10,4-10
Fourth Down Conv.,1-1,1-2
Time of Possession,28:45,31:15
