Unnamed: 0,LAR,IND
First Downs,27,19
Rush-Yds-TDs,36-164-2,31-133-1
Cmp-Att-Yd-TD-INT,27-40-319-1-1,11-25-200-2-0
Sacked-Yards,2-16,2-4
Net Pass Yards,303,196
Total Yards,467,329
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,8-85,8-80
Third Down Conv.,6-15,3-10
Fourth Down Conv.,1-1,1-2
Time of Possession,39:46,24:25
