Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
2,9:17,2,10,LAR 24,17,0,Matthew Stafford pass complete short right to Tutu Atwell for 11 yards (tackle by Julius Brents),0.000,1.270
2,8:40,1,10,LAR 35,17,0,Matthew Stafford pass complete deep middle to Puka Nacua for 32 yards (tackle by Kenny Moore),1.270,3.380
2,7:56,1,10,IND 33,17,0,Kyren Williams right guard for 1 yard (tackle by Zaire Franklin),3.380,2.970
2,7:15,2,9,IND 32,17,0,Kyren Williams left tackle for 3 yards (tackle by Zaire Franklin and Dayo Odeyingbo),2.970,2.680
2,6:37,3,6,IND 29,17,0,Matthew Stafford sacked by and Dayo Odeyingbo for -7 yards and Zaire Franklin for -7 yards,2.680,0.880
2,5:53,4,13,IND 36,20,0,Brett Maher 54 yard field goal good,0.880,3.000
2,5:48,,,LAR 35,20,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,5:48,1,10,IND 25,20,0,Zack Moss up the middle for 2 yards (tackle by Ernest Jones and Aaron Donald),0.610,0.330
2,5:18,2,8,IND 27,20,0,Anthony Richardson scrambles up the middle for 9 yards (tackle by Christian Rozeboom),0.330,1.330
2,4:40,1,10,IND 36,20,0,"Anthony Richardson aborted snap, recovered by Anthony Richardson at IND-27 and returned for -9 yards (tackle by Aaron Donald)",1.330,-0.430
2,4:02,2,19,IND 27,20,0,Anthony Richardson pass complete deep middle to Josh Downs for 30 yards (tackle by Cobie Durant),-0.430,2.720
2,3:32,1,10,LAR 43,20,0,Zack Moss up the middle for 8 yards (tackle by Kobie Turner and Byron Young),2.720,3.260
2,3:02,2,2,LAR 35,20,0,Anthony Richardson pass complete short left to Isaiah McKenzie for 6 yards (tackle by Russ Yeast and Ernest Jones),3.260,3.640
2,2:41,1,10,LAR 29,20,0,Anthony Richardson left end for -3 yards (tackle by Derion Kendrick),3.640,2.760
2,2:00,2,12,LAR 32,20,0,Anthony Richardson scrambles for 8 yards (tackle by Russ Yeast),2.760,3.140
2,1:54,3,4,LAR 24,20,0,"Anthony Richardson pass incomplete short right intended for Andrew Ogletree. Penalty on Will Fries: Ineligible Downfield Pass, 5 yards (declined)",3.140,1.940
2,1:50,4,4,LAR 24,20,0,"Penalty on Michael Pittman: False Start, 5 yards (accepted) (no play)",1.940,1.500
2,1:50,4,9,LAR 29,20,0,Matt Gay 47 yard field goal no good,1.500,-1.400
2,1:45,1,10,LAR 37,20,0,Kyren Williams left tackle for 6 yards (tackle by Shaquille Leonard),1.400,1.670
2,1:10,2,4,LAR 43,20,0,Kyren Williams up the middle for 3 yards (tackle by Kenny Moore),1.670,1.360
2,0:41,3,1,LAR 46,20,0,Kyren Williams right guard for 20 yards (tackle by Rodney Thomas),1.360,3.310
2,0:31,1,10,IND 34,20,0,Matthew Stafford pass complete short left to Tutu Atwell for -1 yards (tackle by Dallis Flowers),3.310,2.640
2,0:26,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:26,2,11,IND 35,20,0,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Grover Stewart),2.640,2.870
2,0:04,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:04,3,4,IND 28,20,0,Brett Maher 46 yard field goal no good,2.870,1.270
Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,20,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,IND 25,20,0,Anthony Richardson pass incomplete deep left intended for Isaiah McKenzie (defended by Russ Yeast),0.610,0.060
3,14:53,2,10,IND 25,20,0,"Anthony Richardson scrambles up the middle for no gain (tackle by Michael Hoecht). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",0.060,-1.430
3,14:24,,,,,,Timeout #1 by Indianapolis Colts,,
3,14:24,2,20,IND 15,20,0,"Anthony Richardson pass incomplete short left intended for Zack Moss. Penalty on Kobie Turner: Roughing the Passer, 15 yards (accepted) (no play)",-1.430,0.940
3,14:18,1,10,IND 30,20,0,Zack Moss up the middle for no gain (tackle by Bobby Brown),0.940,0.390
3,13:40,2,10,IND 30,20,0,Anthony Richardson sacked by Aaron Donald for -1 yards,0.390,-0.430
3,12:58,3,11,IND 29,20,0,Anthony Richardson pass incomplete deep middle intended for Josh Downs,-0.430,-1.440
3,12:51,4,11,IND 29,20,0,"Rigoberto Sanchez punts 48 yards, returned by Austin Trammell for 7 yards (tackle by Andrew Ogletree and Grant Stuard)",-1.440,-0.940
3,12:42,1,10,LAR 30,20,0,Ronnie Rivers left guard for 3 yards (tackle by Dayo Odeyingbo),0.940,0.800
3,12:03,2,7,LAR 33,20,0,Ronnie Rivers left guard for 2 yards (tackle by Dayo Odeyingbo),0.800,0.370
3,11:14,,,,,,Timeout #1 by Los Angeles Rams,,
3,11:14,3,5,LAR 35,20,0,Matthew Stafford pass complete short middle to Tyler Higbee for 9 yards (tackle by Zaire Franklin),0.370,1.860
3,10:33,1,10,LAR 44,20,0,"Matthew Stafford pass complete short left to Puka Nacua for no gain (tackle by Dallis Flowers). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",1.860,1.200
3,10:04,1,20,LAR 34,20,0,Ronnie Rivers right end for 9 yards (tackle by Julian Blackmon),1.200,1.180
3,9:35,2,11,LAR 43,20,0,Matthew Stafford pass complete deep right to Puka Nacua for 17 yards,1.180,2.920
3,9:04,1,10,IND 40,20,0,Ronnie Rivers up the middle for 6 yards (tackle by Julius Brents),2.920,3.180
3,8:18,2,4,IND 34,20,0,Matthew Stafford pass incomplete short left,3.180,2.480
3,8:07,3,4,IND 34,20,0,Ronnie Rivers up the middle for 2 yards (tackle by Dayo Odeyingbo),2.480,1.300
3,7:22,4,2,IND 32,23,0,Brett Maher 51 yard field goal good,1.300,3.000
3,7:17,,,LAR 35,23,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
3,7:17,1,10,IND 25,23,0,Zack Moss right guard for 20 yards (tackle by Byron Young and Russ Yeast),0.610,1.930
3,6:41,1,10,IND 45,23,0,Zack Moss up the middle for 7 yards (tackle by Cobie Durant),1.930,2.330
3,6:14,2,3,LAR 48,23,0,Zack Moss up the middle for 13 yards (tackle by Ernest Jones and Cobie Durant),2.330,3.250
3,5:37,1,10,LAR 35,23,6,"Anthony Richardson pass complete deep right to Mo Alie-Cox for 35 yards, touchdown. Penalty on Ahkello Witherspoon: Defensive Holding, 5 yards (declined)",3.250,7.000
3,5:26,,,LAR 2,23,8,Two Point Attempt: Anthony Richardson pass complete to to Zack Moss for no gain,1.000,1.000
3,5:26,,,IND 35,23,8,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,5:26,1,10,LAR 25,23,8,Matthew Stafford pass incomplete short right intended for Tutu Atwell,0.610,0.060
3,5:23,2,10,LAR 25,23,8,Matthew Stafford pass deep right intended for Tutu Atwell is intercepted by Kenny Moore at LA-42 and returned for no gain (tackle by Tutu Atwell),0.060,-2.790
3,5:17,1,10,LAR 42,23,8,Zack Moss up the middle for 3 yards (tackle by Christian Rozeboom and Ernest Jones),2.790,2.650
3,4:44,2,7,LAR 39,23,8,Anthony Richardson pass incomplete short left intended for Kylen Granson,2.650,1.950
3,4:37,3,7,LAR 39,23,8,"Anthony Richardson sacked by Aaron Donald for no gain. Anthony Richardson fumbles (forced by Aaron Donald), recovered by Christian Rozeboom at LA-44. Penalty on Tre'Vius Tomlinson: Defensive Holding, 5 yards (accepted) (no play)",1.950,3.310
3,4:31,1,10,LAR 34,23,8,Zack Moss up the middle for 3 yards (tackle by Kobie Turner and Ernest Jones),3.310,3.180
3,3:55,2,7,LAR 31,23,8,Anthony Richardson pass incomplete deep right intended for Michael Pittman,3.180,2.480
3,3:45,3,7,LAR 31,23,8,Anthony Richardson pass incomplete short left,2.480,1.320
3,3:39,4,7,LAR 31,23,8,Anthony Richardson pass incomplete short left intended for Kylen Granson,1.320,-1.000
3,3:36,1,10,LAR 31,23,8,Kyren Williams left end for 9 yards (tackle by Rodney Thomas),1.000,1.680
3,3:01,2,1,LAR 40,23,8,Kyren Williams right tackle for 6 yards (tackle by Julius Brents),1.680,1.990
3,2:39,1,10,LAR 46,23,8,Kyren Williams up the middle for 4 yards (tackle by Taven Bryan),1.990,1.990
3,1:59,2,6,IND 50,23,8,Matthew Stafford pass incomplete deep right intended for Tyler Higbee,1.990,1.290
3,1:50,3,6,IND 50,23,8,"Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Kenny Moore: Defensive Pass Interference, 15 yards (accepted) (no play)",1.290,3.250
3,1:44,1,10,IND 35,23,8,Kyren Williams up the middle for -1 yards (tackle by Tyquan Lewis and Segun Olubi),3.250,2.570
3,1:19,2,11,IND 36,23,8,"Matthew Stafford pass complete short middle to Puka Nacua for no gain (tackle by Julian Blackmon). Penalty on Puka Nacua: Offensive Pass Interference, 10 yards (accepted) (no play)",2.570,1.220
3,0:49,2,21,IND 46,23,8,Matthew Stafford pass complete short right to Kyren Williams for 6 yards (tackle by Kenny Moore and Segun Olubi),1.220,1.350
3,0:05,3,15,IND 40,23,8,"Penalty on DeForest Buckner: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.350,2.010
Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,IND 35,23,8,Matthew Stafford pass complete short left to Tutu Atwell for 6 yards (tackle by Segun Olubi),2.010,1.560
4,14:20,4,4,IND 29,23,8,Brett Maher 48 yard field goal no good,1.560,-1.470
4,14:16,1,10,IND 38,23,8,"Zack Moss up the middle for no gain (tackle by Ernest Jones and Russ Yeast). Penalty on Will Fries: Offensive Holding, 10 yards (accepted) (no play)",1.470,0.810
4,13:53,1,20,IND 28,23,8,Anthony Richardson pass incomplete short right intended for Zack Moss,0.810,-0.430
4,13:49,2,20,IND 28,23,8,"Anthony Richardson pass complete deep right to Alec Pierce for 38 yards (tackle by Ahkello Witherspoon). Penalty on Russ Yeast: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Ahkello Witherspoon: Defensive Pass Interference, 15 yards (declined)",-0.430,4.310
4,13:21,1,10,LAR 19,23,8,Anthony Richardson pass complete short right to Michael Pittman for 15 yards (tackle by Jordan Fuller),4.310,6.280
4,12:49,1,4,LAR 4,23,8,Zack Moss up the middle for 2 yards (tackle by Christian Rozeboom),6.280,5.720
4,12:32,2,2,LAR 2,23,8,Zack Moss up the middle for 1 yard (tackle by Michael Hoecht and Bobby Brown),5.720,5.170
4,11:49,3,1,LAR 1,23,14,"Anthony Richardson right guard for 1 yard, touchdown",5.170,7.000
4,11:45,,,LAR 15,23,15,Matt Gay kicks extra point good,0.000,0.000
4,11:45,,,IND 35,23,15,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,11:45,1,10,LAR 25,23,15,Matthew Stafford sacked by Dayo Odeyingbo for -9 yards,0.610,-1.290
4,11:11,2,19,LAR 16,23,15,Matthew Stafford pass complete short right to Ronnie Rivers for 10 yards (tackle by Zaire Franklin and Julius Brents),-1.290,-0.490
4,10:37,3,9,LAR 26,23,15,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Julius Brents),-0.490,1.330
4,10:04,1,10,LAR 36,23,15,Kyren Williams left end for 6 yards (tackle by Zaire Franklin),1.330,1.600
4,9:20,2,4,LAR 42,23,15,Kyren Williams up the middle for 1 yard (tackle by Kenny Moore),1.600,1.030
4,8:33,3,3,LAR 43,23,15,Kyren Williams right guard for no gain (tackle by DeForest Buckner and Samson Ebukam),1.030,-0.520
4,7:39,4,3,LAR 43,23,15,"Ethan Evans punts 40 yards, fair catch by Isaiah McKenzie at IND-17",-0.520,0.060
4,7:29,1,10,IND 17,23,15,Zack Moss right tackle for 7 yards (tackle by Jonah Williams and Larrell Murchison),-0.060,0.480
4,6:52,2,3,IND 24,23,15,Zack Moss up the middle for 4 yards (tackle by Ernest Jones and Michael Hoecht),0.480,0.810
4,6:13,1,10,IND 28,23,15,Zack Moss left tackle for 1 yard (tackle by Jonah Williams and Bobby Brown),0.810,0.400
4,5:33,2,9,IND 29,23,15,Anthony Richardson pass complete short left to Andrew Ogletree for 21 yards (tackle by Christian Rozeboom),0.400,2.260
4,5:02,1,10,IND 50,23,15,Trey Sermon up the middle for 1 yard (tackle by Jonah Williams and Bobby Brown),2.260,1.850
4,4:34,2,9,LAR 49,23,15,Anthony Richardson pass complete short middle to Andrew Ogletree for 22 yards (tackle by Russ Yeast and Jordan Fuller),1.850,3.780
4,3:57,1,10,LAR 27,23,15,Trey Sermon up the middle for 4 yards (tackle by Christian Rozeboom),3.780,3.770
4,3:44,2,6,LAR 23,23,15,Trey Sermon up the middle for 2 yards (tackle by Aaron Donald and Bobby Brown),3.770,3.340
4,3:13,3,4,LAR 21,23,15,Anthony Richardson pass incomplete short right intended for Alec Pierce (defended by Ahkello Witherspoon),3.340,2.130
4,3:08,4,4,LAR 21,23,15,Anthony Richardson pass complete short left to Kylen Granson for 17 yards (tackle by Derion Kendrick),2.130,6.280
4,3:02,1,4,LAR 4,23,15,Zack Moss up the middle for -1 yards (tackle by Aaron Donald and Ernest Jones),6.280,5.150
4,2:25,2,5,LAR 5,23,15,Zack Moss up the middle for no gain (tackle by Michael Hoecht and Kobie Turner),5.150,4.260
4,2:00,3,5,LAR 5,23,21,"Anthony Richardson pass complete short right to Andrew Ogletree for 5 yards, touchdown",4.260,7.000
4,1:56,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:56,,,LAR 2,23,23,Two Point Attempt: Anthony Richardson pass complete to to Michael Pittman for no gain,1.000,1.000
4,1:56,,,IND 35,23,23,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
4,1:56,1,10,LAR 25,23,23,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Julian Blackmon),0.610,0.740
4,1:52,2,5,LAR 30,23,23,"Matthew Stafford pass complete short left to Tutu Atwell for 5 yards (tackle by Kenny Moore) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short left intended for Tutu Atwell (defended by Kenny Moore)",0.740,0.040
4,1:48,3,5,LAR 30,23,23,"Matthew Stafford pass complete short left to Tyler Higbee for 8 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by E.J. Speed)",0.040,-1.370
4,1:44,4,5,LAR 30,23,23,"Ethan Evans punts 48 yards, returned by Isaiah McKenzie for 13 yards (tackle by Royce Freeman and Christian Rozeboom)",-1.370,-1.270
4,1:32,1,10,IND 35,23,23,Anthony Richardson pass incomplete short left intended for Michael Pittman,1.270,0.720
4,1:28,2,10,IND 35,23,23,Anthony Richardson pass incomplete short right intended for Michael Pittman (defended by Michael Hoecht),0.720,0.040
4,1:24,3,10,IND 35,23,23,Anthony Richardson pass incomplete deep left intended for Kylen Granson (defended by Quentin Lake),0.040,-1.040
4,1:19,4,10,IND 35,23,23,"Rigoberto Sanchez punts 45 yards, returned by Austin Trammell for 8 yards (tackle by Trevor Denbow)",-1.040,-0.810
4,1:09,1,10,LAR 28,23,23,Matthew Stafford pass complete short left to Tutu Atwell for 5 yards (tackle by Zaire Franklin),0.810,0.940
4,0:54,2,5,LAR 33,23,23,Matthew Stafford pass complete short right to Puka Nacua for 6 yards (tackle by Julius Brents),0.940,1.530
4,0:41,1,10,LAR 39,23,23,Matthew Stafford pass incomplete deep left intended for Van Jefferson (defended by Dallis Flowers),1.530,0.990
4,0:30,2,10,LAR 39,23,23,Matthew Stafford scrambles up the middle for 8 yards (tackle by Kenny Moore and Zaire Franklin),0.990,1.420
4,0:15,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:15,3,1,LAR 47,23,23,Matthew Stafford pass incomplete short left intended for Tutu Atwell,1.420,-0.260
4,0:11,4,2,LAR 47,23,23,"Ethan Evans punts 35 yards, fair catch by Isaiah McKenzie at IND-18",-0.260,-0.040
4,0:05,1,10,IND 18,23,23,Anthony Richardson kneels for -1 yards,0.040,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
,,,,,,,"Rams won the coin toss, Rams to receive the overtime kickoff.",,
OT,10:00,,,IND 35,23,23,"Matt Gay kicks off 64 yards,",0.000,0.610
OT,10:00,1,10,LAR 25,23,23,Matthew Stafford pass complete deep left to Puka Nacua for 20 yards (tackle by E.J. Speed),0.610,1.930
OT,9:19,1,10,LAR 45,23,23,Kyren Williams left guard for 2 yards (tackle by Samson Ebukam),1.930,1.650
OT,8:34,,,,,,Timeout #1 by Los Angeles Rams,,
OT,8:34,2,8,LAR 47,23,23,Matthew Stafford pass complete short middle to Kyren Williams for 13 yards (tackle by Julian Blackmon),1.650,2.920
OT,7:51,1,10,IND 40,23,23,Matthew Stafford pass complete short middle to Kyren Williams for 5 yards (tackle by Zaire Franklin),2.920,3.050
OT,7:09,2,5,IND 35,23,23,Ronnie Rivers up the middle for 7 yards (tackle by Eric Johnson),3.050,3.710
OT,6:39,1,10,IND 28,23,23,Ronnie Rivers up the middle for 6 yards (tackle by Julian Blackmon and Kenny Moore),3.710,3.980
OT,6:05,2,4,IND 22,23,23,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Rodney Thomas),3.980,3.270
OT,5:55,3,4,IND 22,29,23,"Matthew Stafford pass complete short middle to Puka Nacua for 22 yards, touchdown",3.270,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
