Unnamed: 0,CHI,NOR
First Downs,16,18
Rush-Yds-TDs,32-140-0,34-130-0
Cmp-Att-Yd-TD-INT,10-21-152-1-0,14-29-153-2-0
Sacked-Yards,3-21,0-0
Net Pass Yards,131,153
Total Yards,271,283
Fumbles-Lost,5-2,3-0
Turnovers,2,0
Penalties-Yards,5-86,6-35
Third Down Conv.,4-12,9-15
Fourth Down Conv.,1-1,0-1
Time of Possession,30:26,29:34
