Unnamed: 0,DET,GNB
First Downs,24,16
Rush-Yds-TDs,21-123-0,21-92-0
Cmp-Att-Yd-TD-INT,34-54-331-2-2,12-17-181-3-2
Sacked-Yards,3-23,2-12
Net Pass Yards,308,169
Total Yards,431,261
Fumbles-Lost,2-1,2-2
Turnovers,3,4
Penalties-Yards,13-102,3-31
Third Down Conv.,10-17,3-7
Fourth Down Conv.,0-0,0-0
Time of Possession,37:37,22:23
