Quarter,Time,Tm,Detail,DET,GNB
1.0,12:40,Packers,Donald Driver 29 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,14:14,Lions,Calvin Johnson 23 yard pass from Shaun Hill (Jason Hanson kick),7,7
,10:05,Packers,Jermichael Finley 13 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,6:48,Packers,Greg Jennings 17 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
,0:08,Lions,Calvin Johnson 21 yard pass from Shaun Hill (Jason Hanson kick),14,21
3.0,14:34,Packers,Charles Woodson 48 yard interception return (Mason Crosby kick),14,28
,9:26,Lions,Jason Hanson 39 yard field goal,17,28
,1:43,Lions,Jason Hanson 52 yard field goal,20,28
4.0,13:35,Lions,Jason Hanson 49 yard field goal,23,28
,11:51,Lions,Jason Hanson 24 yard field goal,26,28
