Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
1,5:08,2,10,GNB 26,0,0,Domanick Williams up the middle for 4 yards (tackle by Aaron Kampman and Kenny Peterson),3.300,3.140
1,4:23,3,6,GNB 22,0,0,David Carr pass incomplete intended for Domanick Williams,3.140,2.020
1,4:18,4,6,GNB 22,0,0,Kris Brown 40 yard field goal no good,2.020,-0.940
1,4:14,1,10,GNB 30,0,0,Walter Williams right tackle for 28 yards (tackle by Glenn Earl),0.940,2.790
1,3:50,1,10,HOU 42,0,0,Walter Williams left end for no gain (tackle by Dunta Robinson),2.790,2.240
1,3:13,2,10,HOU 42,0,0,Brett Favre pass incomplete intended for Javon Walker (defended by Jamie Sharper),2.240,1.550
1,3:10,3,10,HOU 42,0,0,Brett Favre pass complete to Javon Walker for 8 yards (tackle by Marlon McCree),1.550,1.100
1,2:24,4,2,HOU 34,0,0,Brett Favre pass incomplete intended for Javon Walker,1.100,-1.200
1,2:20,1,10,HOU 34,0,0,David Carr pass incomplete intended for Jabar Gaffney,1.200,0.660
1,2:14,2,10,HOU 34,0,0,Domanick Williams left end for 1 yard (tackle by Na'il Diggs),0.660,0.100
1,1:31,3,9,HOU 35,0,0,"David Carr pass incomplete intended for Andre Johnson. Penalty on Al Harris: Illegal Use of Hands, 5 yards (no play)",0.100,1.600
1,1:25,1,10,HOU 40,0,0,David Carr pass incomplete intended for Mark Bruener,1.600,1.050
1,1:20,2,10,HOU 40,0,0,Domanick Williams left tackle for 5 yards (tackle by Grady Jackson and Mark Roman),1.050,1.030
1,0:40,3,5,HOU 45,0,0,David Carr pass complete to Derick Armstrong for 16 yards (tackle by Joey Thomas),1.030,2.980
Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 39,0,0,David Carr pass complete to Domanick Williams for 2 yards (tackle by Mark Roman),2.980,2.710
2,14:21,2,8,GNB 37,0,0,Domanick Williams left guard for no gain (tackle by Na'il Diggs),2.710,2.020
2,13:42,3,8,GNB 37,0,0,David Carr pass incomplete intended for Andre Johnson,2.020,0.790
2,13:36,4,8,GNB 37,0,0,"Chad Stanley punts 37 yards, touchback",0.790,-0.280
2,13:28,1,10,GNB 20,0,0,Brett Favre pass complete to Ben Steele for 5 yards (tackle by Jason Babin),0.280,0.410
2,12:50,2,5,GNB 25,0,0,Ahman Green left end for no gain (tackle by Corey Sears and Seth Payne). Penalty on Robert Ferguson: Illegal Motion (Declined),0.410,-0.300
2,12:22,3,5,GNB 25,0,0,Brett Favre pass complete to Javon Walker for 15 yards (tackle by Marlon McCree),-0.300,1.600
2,11:37,1,10,GNB 40,0,0,Brett Favre pass complete to Donald Driver for 50 yards (tackle by Marcus Coleman),1.600,4.910
2,10:49,1,10,HOU 10,0,0,Brett Favre pass incomplete intended for Javon Walker. Penalty on GNB: Offensive 12 On-field (Declined),4.910,4.190
2,10:41,2,10,HOU 10,0,0,Walter Williams right guard for 2 yards (tackle by Jerry DeLoach and Seth Payne),4.190,3.580
2,10:02,3,8,HOU 8,0,0,Brett Favre pass complete to Donald Driver for 3 yards (tackle by Aaron Glenn),3.580,3.010
2,9:24,4,5,HOU 5,3,0,Ryan Longwell 23 yard field goal good,3.010,3.000
2,,,,GNB 30,3,0,"Ryan Longwell kicks off 64 yards, returned by J.J. Moses for 32 yards (tackle by Torrance Marshall)",0.000,1.470
2,9:14,1,10,HOU 38,3,0,Domanick Williams up the middle for 3 yards (tackle by Grady Jackson and Kabeer Gbaja-Biamila),1.470,1.330
2,8:38,2,7,HOU 41,3,0,Domanick Williams right guard for 4 yards (tackle by Na'il Diggs),1.330,1.160
2,7:52,3,3,HOU 45,3,0,David Carr pass complete to Andre Johnson for 49 yards (tackle by Joey Thomas),1.160,5.830
2,7:41,1,6,GNB 6,3,6,"David Carr pass complete to Domanick Williams for 6 yards, touchdown",5.830,7.000
2,,,,GNB 2,3,7,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,3,7,"Kris Brown kicks off 67 yards, returned by Robert Ferguson for 14 yards (tackle by DaShon Polk)",0.000,-0.060
2,7:18,1,10,GNB 17,3,7,Ahman Green right guard for 2 yards (tackle by Seth Payne and Jay Foreman),-0.060,-0.250
2,6:41,2,8,GNB 19,3,7,Brett Favre pass complete to Javon Walker for 20 yards (tackle by Glenn Earl),-0.250,1.530
2,6:04,1,10,GNB 39,3,7,Brett Favre pass complete to Robert Ferguson for 11 yards (tackle by Dunta Robinson),1.530,2.260
,,,,,,,"GNB challenged the ruling, and the original play was overturned.",,
2,5:54,,,,3,7,Timeout #1 by Green Bay Packers,0.000,2.260
2,5:47,1,10,HOU 50,3,7,Brett Favre pass incomplete intended for Antonio Chatman,2.260,1.710
2,5:42,2,10,HOU 50,3,7,Ahman Green up the middle for 1 yard (tackle by Marlon McCree and Robaire Smith),1.710,1.160
2,4:57,3,9,HOU 49,3,7,Brett Favre pass incomplete intended for Bubba Franks (defended by Aaron Glenn),1.160,0.000
2,4:52,4,9,HOU 49,3,7,"Bryan Barker punts 35 yards (tackle by Torrance Marshall). Penalty on Torrance Marshall: Unnecessary Roughness, 15 yards",0.000,-1.200
2,4:44,1,10,HOU 34,3,7,"Domanick Williams right tackle for 1 yard (tackle by Na'il Diggs and Aaron Kampman). Penalty on Grady Jackson: Defensive Offside, 5 yards (no play)",1.200,1.930
2,4:22,1,5,HOU 39,3,7,David Carr pass incomplete intended for Corey Bradford,1.930,1.330
2,4:15,2,5,HOU 39,3,7,"David Carr for 11 yards (tackle by Bhawoh Jue). Penalty on Al Harris: Illegal Contact, 5 yards",1.330,2.590
2,3:52,1,10,GNB 45,3,7,David Carr pass complete to Domanick Williams for 11 yards (tackle by Na'il Diggs),2.590,3.310
2,3:15,1,10,GNB 34,3,7,"Domanick Williams left end for 7 yards (tackle by Mark Roman). Penalty on Derick Armstrong: Offensive Holding, 10 yards",3.310,3.120
2,2:51,1,13,GNB 37,3,7,Domanick Williams right end for 9 yards (tackle by Mark Roman),3.120,3.580
2,2:11,2,4,GNB 28,3,7,Domanick Williams up the middle for no gain (tackle by Aaron Kampman and Cletidus Hunt),3.580,2.870
2,2:00,3,4,GNB 28,3,7,David Carr pass incomplete intended for Jabar Gaffney (defended by Michael Hawthorne),2.870,1.650
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:52,4,4,GNB 28,3,10,Kris Brown 46 yard field goal good,1.650,3.000
2,,,,HOU 30,3,10,"Kris Brown kicks off 62 yards, returned by Antonio Chatman for 21 yards (tackle by Troy Evans)",0.000,0.870
2,1:43,1,10,GNB 29,3,10,Ahman Green left guard for 5 yards (tackle by Robaire Smith),0.870,1.000
2,1:23,2,5,GNB 34,3,10,Brett Favre pass complete to Robert Ferguson for 4 yards (tackle by Dunta Robinson),1.000,0.830
2,1:06,3,1,GNB 38,3,10,Brett Favre pass incomplete intended for Robert Ferguson. Penalty on Tony Fisher: Offensive Holding (Declined),0.830,-0.850
2,1:01,4,1,GNB 38,3,10,"Bryan Barker punts 42 yards, returned by J.J. Moses for 27 yards (tackle by Jason Horton)",-0.850,-2.060
2,0:47,1,10,HOU 47,3,10,David Carr for 24 yards (tackle by Darren Sharper),2.060,3.640
2,0:38,1,10,GNB 29,3,10,Domanick Williams up the middle for 1 yard (tackle by Hannibal Navies),3.640,3.240
2,0:33,,,,3,10,Timeout #1 by Houston Texans,0.000,3.240
2,0:33,2,9,GNB 28,3,10,David Carr pass complete to Andre Johnson for 6 yards (tackle by Al Harris),3.240,3.340
2,0:28,3,3,GNB 22,3,10,David Carr pass incomplete intended for Corey Bradford,3.340,2.090
2,0:21,4,3,GNB 22,3,13,Kris Brown 40 yard field goal good,2.090,3.000
2,,,,HOU 30,3,13,"Kris Brown kicks off 66 yards, returned by Antonio Chatman for 18 yards (tackle by Charlie Anderson). Penalty on Torrance Marshall: Unnecessary Roughness (Offsetting), Penalty on DaShon Polk: Unnecessary Roughness (Offsetting)",0.000,0.410
2,0:11,1,10,GNB 22,3,13,Brett Favre kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,3,13,"Ryan Longwell kicks off 52 yards, returned by J.J. Moses for 13 yards (tackle by Ben Steele)",0.000,1.000
3,14:55,1,10,HOU 31,3,13,David Carr pass complete to Andre Johnson for 20 yards (tackle by Ahmad Carroll),1.000,2.320
3,14:20,1,10,GNB 49,3,13,David Carr for 1 yard (tackle by Hannibal Navies),2.320,1.920
3,13:55,2,9,GNB 48,3,13,Domanick Williams right tackle for 3 yards (tackle by Kabeer Gbaja-Biamila and Nick Barnett),1.920,1.620
3,13:14,3,6,GNB 45,3,13,David Carr sacked by Kabeer Gbaja-Biamila for -9 yards,1.620,-0.320
3,12:49,4,15,HOU 46,3,13,"Chad Stanley punts 46 yards, fair catch by Antonio Chatman",-0.320,0.380
3,12:40,1,10,GNB 8,3,13,Tony Fisher right tackle for 2 yards (tackle by Jerry DeLoach),-0.380,-0.630
3,12:07,2,8,GNB 10,3,13,Brett Favre pass complete to Javon Walker for 6 yards (tackle by Jay Foreman),-0.630,-0.480
3,11:25,3,2,GNB 16,3,13,Brett Favre pass complete to Javon Walker for 10 yards (tackle by Jamie Sharper),-0.480,0.670
3,11:01,1,10,GNB 26,3,13,Brett Favre pass complete to Bubba Franks for 16 yards (tackle by Dunta Robinson),0.670,1.730
3,10:18,1,10,GNB 42,3,13,Tony Fisher right end for 4 yards (tackle by Kailee Wong),1.730,1.730
3,9:46,2,6,GNB 46,3,13,Brett Favre pass complete to Javon Walker for 3 yards (tackle by Aaron Glenn),1.730,1.420
3,9:24,3,3,GNB 49,3,13,Brett Favre pass incomplete intended for Robert Ferguson,1.420,-0.130
3,9:19,4,3,GNB 49,3,13,"Bryan Barker punts 34 yards, fair catch by J.J. Moses. Penalty on HOU: Defensive 12 On-field, 5 yards (no play)",-0.130,2.520
3,9:12,1,10,HOU 46,3,13,Brett Favre pass incomplete intended for Javon Walker is intercepted by Aaron Glenn at HOU-16,2.520,0.140
3,9:06,1,10,HOU 16,3,13,Domanick Williams right tackle for -1 yards (tackle by Hannibal Navies and Aaron Kampman),-0.140,-0.780
3,8:25,2,11,HOU 15,3,13,Domanick Williams right end for 3 yards (tackle by Cletidus Hunt),-0.780,-1.070
3,7:44,3,8,HOU 18,3,13,David Carr pass complete to Andre Johnson for 11 yards (tackle by Al Harris),-1.070,0.870
3,7:01,1,10,HOU 29,3,13,"David Carr pass incomplete intended for Andre Johnson (defended by Al Harris). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",0.870,0.110
3,6:55,1,20,HOU 19,3,13,Domanick Williams left guard for 4 yards (tackle by Aaron Kampman),0.110,-0.480
3,6:10,2,16,HOU 23,3,13,Domanick Williams up the middle for 2 yards (tackle by Cletidus Hunt and Grady Jackson),-0.480,-0.890
3,5:30,3,14,HOU 25,3,13,David Carr pass complete to Domanick Williams for 10 yards (tackle by Nick Barnett),-0.890,-1.040
3,4:59,4,4,HOU 35,3,13,"Chad Stanley punts 47 yards, returned by Antonio Chatman for -3 yards (tackle by Troy Evans)",-1.040,0.220
3,4:46,1,10,GNB 15,3,13,Brett Favre pass complete to Donald Driver for 8 yards (tackle by Aaron Glenn),-0.220,0.480
3,4:20,2,2,GNB 23,3,13,"Tony Fisher right tackle for 12 yards (tackle by Jamie Sharper). Penalty on Mike Wahle: Offensive Holding, 10 yards (no play)",0.480,-0.920
3,4:01,2,12,GNB 13,3,13,Brett Favre pass complete to Tony Fisher for 4 yards (tackle by Dunta Robinson),-0.920,-1.120
3,3:19,3,8,GNB 17,3,13,Brett Favre pass incomplete intended for Donald Driver,-1.120,-2.320
3,3:10,4,8,GNB 17,3,13,"Bryan Barker punts 43 yards, returned by J.J. Moses for 6 yards (tackle by Mark Roman)",-2.320,-1.990
3,2:56,1,10,HOU 46,3,13,Jabar Gaffney left end for 9 yards (tackle by Al Harris),1.990,2.670
3,2:11,2,1,GNB 45,3,13,David Carr pass incomplete intended for Corey Bradford,2.670,1.950
3,2:05,3,1,GNB 45,3,13,Domanick Williams right end for 11 yards (tackle by Na'il Diggs),1.950,3.310
3,1:21,1,10,GNB 34,3,13,David Carr pass incomplete intended for Andre Johnson (defended by Al Harris),3.310,2.770
3,1:16,2,10,GNB 34,3,13,Andre Johnson left end for -9 yards (tackle by Ahmad Carroll),2.770,0.890
3,0:28,3,19,GNB 43,3,13,David Carr sacked by Kabeer Gbaja-Biamila for -11 yards,0.890,-0.320
Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,30,HOU 46,3,13,"Chad Stanley punts 35 yards, fair catch by Antonio Chatman",-0.320,-0.150
4,14:53,1,10,GNB 19,3,13,Brett Favre pass complete to Donald Driver for 12 yards (tackle by Dunta Robinson),0.150,1.000
4,14:25,1,10,GNB 31,3,13,Tony Fisher right tackle for no gain (tackle by Robaire Smith and Jason Babin),1.000,0.460
4,13:50,2,10,GNB 31,3,13,Brett Favre pass incomplete intended for Antonio Chatman (defended by Dunta Robinson),0.460,-0.230
4,13:50,3,10,GNB 31,3,13,"Penalty on William Henderson: Illegal Substitution, 5 yards (no play)",-0.230,-0.890
4,13:44,3,15,GNB 26,3,13,Brett Favre pass complete to Robert Ferguson for 23 yards (tackle by Marlon McCree),-0.890,2.190
4,13:22,1,10,GNB 49,3,13,Brett Favre pass incomplete intended for Javon Walker (defended by Aaron Glenn),2.190,1.650
4,13:16,2,10,GNB 49,3,13,Brett Favre pass complete to Bubba Franks for 27 yards (tackle by Aaron Glenn),1.650,3.970
4,12:35,1,10,HOU 24,9,13,"Brett Favre pass complete to Donald Driver for 24 yards, touchdown",3.970,7.000
4,,,,HOU 2,10,13,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,GNB 30,10,13,--,0.000,1.330
4,12:22,1,10,HOU 36,10,13,David Carr pass incomplete intended for Andre Johnson (defended by Al Harris),1.330,0.790
4,12:16,2,10,HOU 36,10,13,Domanick Williams right tackle for 1 yard (tackle by Aaron Kampman),0.790,0.230
4,11:39,,,,10,13,Timeout #1 by Green Bay Packers,0.000,0.230
4,11:38,3,9,HOU 37,10,13,David Carr pass incomplete intended for Domanick Williams (defended by Grady Jackson),0.230,-0.910
4,11:32,4,9,HOU 37,10,13,"Chad Stanley punts 42 yards (tackle by Jonathan Wells). Penalty on Bryan Pittman: Offensive Holding (Offsetting), Penalty on Ahmad Carroll: Offensive Holding (Offsetting) (no play)",-0.910,-0.910
4,11:19,4,9,HOU 37,10,13,"Chad Stanley punts 44 yards, returned by Antonio Chatman for 20 yards (tackle by Marlon McCree)",-0.910,-1.530
4,11:08,1,10,GNB 39,10,13,Brett Favre pass complete to Donald Driver for 9 yards (tackle by Kailee Wong),1.530,2.200
4,10:48,2,1,GNB 48,10,13,Tony Fisher up the middle for 2 yards (tackle by Glenn Earl),2.200,2.260
4,10:14,1,10,HOU 50,10,13,Brett Favre pass complete to William Henderson for 20 yards (tackle by Marcus Coleman),2.260,3.580
4,9:46,1,10,HOU 30,10,13,"Tony Fisher right guard for 10 yards (tackle by Glenn Earl and Jamie Sharper). Penalty on Marco Rivera: Offensive Holding, 10 yards (no play)",3.580,2.920
4,9:24,1,20,HOU 40,10,13,Brett Favre pass complete to Tony Fisher for 4 yards (tackle by Jason Babin),2.920,2.220
4,8:36,2,16,HOU 36,10,13,Brett Favre pass incomplete intended for Ben Steele,2.220,1.550
4,8:32,3,16,HOU 36,10,13,Brett Favre pass complete to Donald Driver for 15 yards (tackle by Jay Foreman),1.550,2.210
4,7:59,4,1,HOU 21,13,13,Ryan Longwell 39 yard field goal good,2.210,3.000
4,,,,GNB 30,13,13,"Ryan Longwell kicks off 61 yards, returned by J.J. Moses for 18 yards (tackle by Ahmad Carroll)",0.000,0.740
4,7:49,1,10,HOU 27,13,13,Domanick Williams right tackle for 3 yards (tackle by Grady Jackson),0.740,0.600
4,7:05,2,7,HOU 30,13,13,Domanick Williams left guard for 2 yards (tackle by Nick Barnett),0.600,0.170
4,6:25,3,5,HOU 32,13,13,David Carr pass complete to Andre Johnson for 1 yard (tackle by Bhawoh Jue),0.170,-1.180
4,5:53,4,4,HOU 33,13,13,"Chad Stanley punts 53 yards, returned by Antonio Chatman for 6 yards (tackle by Marlon McCree)",-1.180,-0.280
4,5:41,1,10,GNB 20,13,13,Brett Favre pass complete to Donald Driver for 10 yards (tackle by Jerry DeLoach),0.280,0.940
4,4:59,1,10,GNB 30,13,13,Tony Fisher right guard for 3 yards (tackle by Seth Payne and Jerry DeLoach),0.940,0.800
4,4:21,2,7,GNB 33,13,13,Brett Favre pass incomplete intended for Javon Walker,0.800,0.100
4,4:14,3,7,GNB 33,13,13,Brett Favre for 17 yards (tackle by Marlon McCree),0.100,2.260
4,4:05,1,10,HOU 50,13,13,Tony Fisher left end for 3 yards (tackle by Seth Payne and Jamie Sharper),2.260,2.120
4,3:27,2,7,HOU 47,13,13,"Brett Favre pass complete to Donald Driver for 16 yards (tackle by Dunta Robinson). Penalty on Donald Driver: Offensive Pass Interference, 10 yards (no play)",2.120,0.770
4,3:20,2,17,GNB 43,13,13,Brett Favre pass incomplete intended for Donald Driver,0.770,0.100
4,3:16,3,17,GNB 43,13,13,Brett Favre pass incomplete intended for Antonio Chatman is intercepted by Dunta Robinson at HOU-16,0.100,0.140
4,3:06,1,10,HOU 16,13,13,David Carr pass complete to Domanick Williams for 7 yards (tackle by Hannibal Navies),-0.140,0.420
4,2:25,2,3,HOU 23,13,13,David Carr pass incomplete intended for Corey Bradford,0.420,-0.450
4,2:19,3,3,HOU 23,13,13,David Carr pass incomplete intended for Domanick Williams,-0.450,-1.830
4,2:10,4,3,HOU 23,13,13,"Chad Stanley punts 46 yards, returned by Antonio Chatman for no gain",-1.830,-1.000
4,2:00,1,10,GNB 31,13,13,Brett Favre pass complete to Tony Fisher for 3 yards (tackle by Marlon McCree),1.000,0.870
4,1:31,2,7,GNB 34,13,13,Brett Favre pass complete to Robert Ferguson for 6 yards (tackle by Marlon McCree),0.870,0.960
4,1:03,3,1,GNB 40,13,13,Brett Favre pass complete to Antonio Chatman for 6 yards (tackle by Marlon McCree),0.960,1.990
4,0:38,1,10,GNB 46,13,13,Brett Favre pass complete to Antonio Chatman for 11 yards (tackle by Jay Foreman),1.990,2.720
4,0:31,,,,13,13,Timeout #2 by Green Bay Packers,0.000,0.000
4,0:31,,,,13,13,Timeout #1 by Houston Texans,0.000,2.720
4,0:31,1,10,HOU 43,13,13,Brett Favre pass complete to Javon Walker for 3 yards (tackle by Marcus Coleman),2.720,2.580
4,0:20,2,7,HOU 40,13,13,Brett Favre spiked the ball,2.580,1.880
4,0:17,3,7,HOU 40,13,13,Brett Favre pass complete to Donald Driver for 12 yards (tackle by Dunta Robinson),1.880,3.710
4,0:04,,,,13,13,Timeout #3 by Green Bay Packers,0.000,0.000
4,0:04,,,,13,13,Timeout #2 by Houston Texans,0.000,3.710
4,0:04,1,10,HOU 28,16,13,Ryan Longwell 46 yard field goal good,3.710,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
