Unnamed: 0,GNB,HOU
First Downs,22,13
Rush-Yds-TDs,21-90-0,27-107-0
Cmp-Att-Yd-TD-INT,33-50-383-1-2,13-27-164-1-0
Sacked-Yards,0-0,2-20
Net Pass Yards,383,144
Total Yards,473,251
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,10-90,3-25
Third Down Conv.,8-17,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,32:06,27:54
