Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
1,6:11,3,8,PHI 39,7,0,Matthew Stafford pass complete short middle to Cooper Kupp for 8 yards (tackle by Eli Ricks),1.880,3.510
1,5:32,1,10,PHI 31,7,0,Kyren Williams right end for 7 yards (tackle by Nicholas Morrow),3.510,3.910
1,4:54,2,3,PHI 24,7,0,Kyren Williams up the middle for 2 yards (tackle by Josh Sweat),3.910,3.470
1,4:11,3,1,PHI 22,7,0,Matthew Stafford pass incomplete short middle intended for Puka Nacua,3.470,2.140
1,4:05,4,1,PHI 22,7,0,Matthew Stafford pass complete short middle to Cooper Kupp for 12 yards (tackle by Eli Ricks and Reed Blankenship),2.140,4.910
1,3:25,1,10,PHI 10,7,0,Kyren Williams left end for -1 yards (tackle by Nicholas Morrow),4.910,4.020
1,2:46,2,11,PHI 11,7,0,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Darius Slay),4.020,4.720
1,2:04,3,3,PHI 3,7,6,"Matthew Stafford pass complete short left to Tutu Atwell for 3 yards, touchdown",4.720,7.000
1,2:01,,,PHI 15,7,7,Brett Maher kicks extra point good,0.000,0.000
1,2:01,,,LAR 35,7,7,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,2:01,1,10,PHI 25,7,7,D'Andre Swift right end for -2 yards (tackle by Ernest Jones),0.610,-0.210
1,1:19,2,12,PHI 23,7,7,Jalen Hurts pass complete short left to Dallas Goedert for 7 yards (tackle by Ernest Jones),-0.210,0.040
1,0:35,3,5,PHI 30,7,7,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Christian Rozeboom and Cobie Durant),0.040,1.600
1,0:02,1,10,PHI 40,7,7,Kenneth Gainwell up the middle for 1 yard (tackle by Jonah Williams),1.600,1.190
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,PHI 41,7,7,Jalen Hurts pass incomplete short left intended for DeVonta Smith,1.190,0.500
2,14:56,3,9,PHI 41,7,7,Jalen Hurts scrambles right end for 9 yards (tackle by Jordan Fuller and Cobie Durant),0.500,2.260
2,14:08,1,10,PHI 50,7,7,Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by Jordan Fuller),2.260,1.710
2,14:00,2,10,PHI 50,7,7,Jalen Hurts pass incomplete short left,1.710,1.030
2,13:53,3,10,PHI 50,7,7,Jalen Hurts pass incomplete deep right intended for Quez Watkins,1.030,-0.060
2,13:48,4,10,PHI 50,7,7,"Braden Mann punts 41 yards, fair catch by Austin Trammell at LA-9",-0.060,0.380
2,13:41,1,10,LAR 9,7,7,Kyren Williams up the middle for 2 yards (tackle by Zach Cunningham and Milton Williams),-0.380,-0.630
2,13:04,2,8,LAR 11,7,7,Matthew Stafford pass complete short left to Kyren Williams for 7 yards (tackle by Reed Blankenship),-0.630,-0.370
2,12:29,3,1,LAR 18,7,7,Kyren Williams up the middle for 6 yards (tackle by Reed Blankenship),-0.370,0.540
2,11:47,1,10,LAR 24,7,7,Kyren Williams left end for 3 yards (tackle by Zach Cunningham and James Bradberry),0.540,0.400
2,11:04,2,7,LAR 27,7,7,Matthew Stafford pass incomplete short left intended for Cooper Kupp,0.400,-0.300
2,11:00,3,7,LAR 27,7,7,Matthew Stafford pass incomplete short right intended for Puka Nacua,-0.300,-1.570
2,10:55,4,7,LAR 27,7,7,"Ethan Evans punts 65 yards, returned by Britain Covey for 20 yards (tackle by Jake Hummel)",-1.570,-0.810
2,10:39,1,10,PHI 28,7,7,Jalen Hurts pass complete short right to D'Andre Swift for 4 yards (tackle by Quentin Lake and Jordan Fuller),0.810,0.800
2,10:00,2,6,PHI 32,7,7,Jalen Hurts pass incomplete short right intended for Dallas Goedert,0.800,0.100
2,9:55,3,6,PHI 32,7,7,Jalen Hurts pass complete short right to Kenneth Gainwell for 7 yards (tackle by Kobie Turner),0.100,1.530
2,9:16,1,10,PHI 39,7,7,Kenneth Gainwell right tackle for 2 yards (tackle by Aaron Donald and Jordan Fuller),1.530,1.260
2,8:37,2,8,PHI 41,7,7,Jalen Hurts pass complete short right to A.J. Brown for 12 yards (tackle by Ahkello Witherspoon),1.260,2.460
2,8:09,1,10,LAR 47,7,7,Jalen Hurts sacked by Zach VanValkenburg for -8 yards,2.460,0.830
2,7:23,2,18,PHI 45,7,7,Jalen Hurts pass complete short middle to D'Andre Swift for 9 yards (tackle by Christian Rozeboom and Ernest Jones),0.830,1.350
2,6:38,3,9,LAR 46,7,7,Jalen Hurts up the middle for 12 yards (tackle by Cobie Durant),1.350,3.310
2,5:56,1,10,LAR 34,7,7,Jalen Hurts pass complete short left to Jack Stoll for 4 yards (tackle by Michael Hoecht),3.310,3.310
2,5:21,2,6,LAR 30,7,7,Jalen Hurts left end for 5 yards (tackle by Ernest Jones),3.310,3.270
2,4:53,3,1,LAR 25,7,7,Jalen Hurts up the middle for 2 yards (tackle by Bobby Brown),3.270,4.040
2,4:18,1,10,LAR 23,7,7,D'Andre Swift up the middle for 3 yards (tackle by Larrell Murchison),4.040,3.900
2,3:36,2,7,LAR 20,7,7,Jalen Hurts pass complete short right to D'Andre Swift for 5 yards (tackle by Christian Rozeboom),3.900,4.050
2,3:00,3,2,LAR 15,7,7,Jalen Hurts pass complete short left to Quez Watkins for -1 yards (tackle by Derion Kendrick),4.050,2.480
2,2:19,4,3,LAR 16,10,7,Jake Elliott 34 yard field goal good,2.480,3.000
2,2:15,,,PHI 35,10,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,2:15,1,10,LAR 25,10,7,Matthew Stafford pass complete short right to Tyler Higbee for 8 yards (tackle by Kentavius Street),0.610,1.140
2,2:00,2,2,LAR 33,10,7,Matthew Stafford pass complete short left to Puka Nacua for 6 yards (tackle by Josh Sweat),1.140,1.530
2,1:39,1,10,LAR 39,10,7,Matthew Stafford pass complete deep left to Cooper Kupp for 39 yards (tackle by Darius Slay),1.530,4.110
2,1:29,1,10,PHI 22,10,7,Ronnie Rivers right end for 1 yard (tackle by Nicholas Morrow),4.110,3.700
2,0:46,2,9,PHI 21,10,7,Matthew Stafford sacked by Jalen Carter for -1 yards,3.700,2.870
2,0:38,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:38,3,10,PHI 22,10,13,"Matthew Stafford pass complete deep right to Puka Nacua for 22 yards, touchdown",2.870,7.000
2,0:32,,,PHI 15,10,14,Brett Maher kicks extra point good,0.000,0.000
2,0:32,,,LAR 35,10,14,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
2,0:32,1,10,PHI 25,10,14,Jalen Hurts scrambles left end for 9 yards (tackle by Ernest Jones),0.610,1.280
2,0:24,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:24,2,1,PHI 34,10,14,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.280,0.560
2,0:17,3,1,PHI 34,10,14,"Jalen Hurts pass complete deep middle to A.J. Brown for 38 yards (tackle by Derion Kendrick). Penalty on Derion Kendrick: Horse Collar Tackle, 14 yards (accepted)",0.560,4.650
2,0:07,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:07,1,10,LAR 14,10,14,"Jalen Hurts pass incomplete intended for A.J. Brown. Penalty on Derion Kendrick: Defensive Pass Interference, 13 yards (accepted) (no play)",4.650,6.970
2,0:02,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:02,1,1,LAR 1,16,14,"Jalen Hurts up the middle for 1 yard, touchdown",6.970,7.000
2,0:00,,,LAR 15,17,14,Jake Elliott kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,17,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,17,14,"Matthew Stafford pass complete short middle to Ronnie Rivers for no gain. Penalty on Steve Avila: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.610,0.280
3,14:34,1,15,LAR 20,17,14,Matthew Stafford sacked by Jalen Carter for -11 yards,0.280,-1.950
3,13:58,2,26,LAR 9,17,14,Matthew Stafford pass incomplete short middle intended for Puka Nacua,-1.950,-3.290
3,13:52,3,26,LAR 9,17,14,Kyren Williams up the middle for 11 yards (tackle by James Bradberry),-3.290,-2.030
3,13:52,4,15,LAR 20,17,14,"Penalty on Zach Cunningham: Face Mask (15 Yards), 15 yards (accepted)",-2.030,1.270
3,13:25,1,10,LAR 35,17,14,Matthew Stafford pass complete deep left to Puka Nacua for 17 yards (tackle by Reed Blankenship),1.270,2.390
3,12:55,1,10,PHI 48,17,14,Kyren Williams up the middle for 3 yards (tackle by Nolan Smith and Zach Cunningham),2.390,2.250
3,12:08,2,7,PHI 45,17,14,Matthew Stafford pass complete short right to Kyren Williams for -3 yards (tackle by Nicholas Morrow and Jordan Davis),2.250,1.160
3,11:19,3,10,PHI 48,17,14,"Matthew Stafford pass incomplete short left. Penalty on Matthew Stafford: Intentional Grounding, 11 yards (accepted)",1.160,-0.650
3,11:19,4,21,LAR 41,17,14,Ethan Evans punts 54 yards out of bounds,-0.650,0.380
3,11:09,1,10,PHI 5,17,14,Jalen Hurts pass incomplete deep left,-0.380,-0.780
3,11:03,2,10,PHI 5,17,14,Jalen Hurts pass complete short left to D'Andre Swift for 8 yards (tackle by Derion Kendrick),-0.780,-0.480
3,10:20,,,,,,Timeout #1 by Philadelphia Eagles,,
3,10:20,3,2,PHI 13,17,14,Jalen Hurts pass complete short left to D'Andre Swift for 7 yards (tackle by Derion Kendrick),-0.480,0.280
3,9:49,1,10,PHI 20,17,14,Jalen Hurts pass complete deep left to Dallas Goedert for 49 yards (tackle by Russ Yeast),0.280,3.510
3,9:11,1,10,LAR 31,17,14,D'Andre Swift up the middle for 1 yard (tackle by Kobie Turner and Ernest Jones),3.510,3.100
3,8:29,2,9,LAR 30,17,14,Jalen Hurts pass complete short right to Dallas Goedert for 10 yards (tackle by Christian Rozeboom),3.100,4.240
3,7:40,1,10,LAR 20,17,14,Jalen Hurts pass deep right intended for A.J. Brown is intercepted by Ahkello Witherspoon in end zone and returned for no gain,4.240,-0.280
3,7:36,1,10,LAR 20,17,14,Kyren Williams right tackle for 7 yards (tackle by Justin Evans),0.280,0.680
3,7:05,2,3,LAR 27,17,14,"Matthew Stafford pass complete short middle to Puka Nacua for 15 yards (tackle by Reed Blankenship). Penalty on Reed Blankenship: Horse Collar Tackle, 15 yards (accepted)",0.680,2.720
3,6:41,1,10,PHI 43,17,14,Matthew Stafford pass incomplete short middle intended for Ben Skowronek (defended by James Bradberry),2.720,2.180
3,6:36,2,10,PHI 43,17,14,Matthew Stafford pass incomplete deep left,2.180,1.490
3,6:30,3,10,PHI 43,17,14,"Matthew Stafford pass complete short left to Puka Nacua for -9 yards. Puka Nacua fumbles (forced by Josh Sweat), recovered by Cooper Kupp at LA-48",1.490,-0.190
3,5:41,4,19,LAR 48,17,14,"Ethan Evans punts 43 yards, fair catch by Britain Covey at PHI-9",-0.190,0.380
3,5:38,1,10,PHI 9,17,14,D'Andre Swift up the middle for 8 yards (tackle by Derion Kendrick),-0.380,-0.020
3,5:12,2,2,PHI 17,17,14,D'Andre Swift up the middle for 7 yards (tackle by Jonah Williams),-0.020,0.540
3,4:41,1,10,PHI 24,17,14,D'Andre Swift up the middle for 3 yards (tackle by Kobie Turner and Michael Hoecht),0.540,0.400
3,4:08,2,7,PHI 27,17,14,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Derion Kendrick),0.400,0.500
3,3:40,3,1,PHI 33,17,14,Jalen Hurts up the middle for 2 yards (tackle by Ernest Jones),0.500,1.270
3,2:57,1,10,PHI 35,17,14,D'Andre Swift up the middle for 3 yards (tackle by Aaron Donald and Zach VanValkenburg),1.270,1.130
3,2:19,2,7,PHI 38,17,14,Jalen Hurts pass incomplete short right intended for Kenneth Gainwell,1.130,0.430
3,2:12,3,7,PHI 38,17,14,Jalen Hurts scrambles right end for 17 yards (tackle by Kobie Turner),0.430,2.590
3,1:21,1,10,LAR 45,17,14,Jalen Hurts pass incomplete short left intended for DeVonta Smith,2.590,2.040
3,1:20,2,10,LAR 45,17,14,Jalen Hurts pass complete short middle to A.J. Brown for 24 yards (tackle by Ernest Jones and Cobie Durant),2.040,4.170
3,0:33,1,10,LAR 21,17,14,D'Andre Swift left tackle for 3 yards (tackle by Ernest Jones),4.170,4.040
Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,LAR 18,17,14,Jalen Hurts pass complete short left to D'Andre Swift for 5 yards (tackle by Michael Hoecht and Derion Kendrick),4.040,4.240
4,14:17,3,2,LAR 13,17,14,Kenneth Gainwell up the middle for 2 yards (tackle by Ernest Jones and Kobie Turner),4.240,4.840
4,13:36,1,10,LAR 11,17,14,Kenneth Gainwell up the middle for 3 yards (tackle by Jordan Fuller and Jonah Williams),4.840,4.700
4,12:50,2,7,LAR 8,17,14,Jalen Hurts pass incomplete short right,4.700,3.760
4,12:41,3,7,LAR 8,17,14,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Duke Shelley),3.760,2.960
4,12:33,4,7,LAR 8,20,14,Jake Elliott 26 yard field goal good,2.960,3.000
4,12:29,,,PHI 35,20,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,12:29,1,10,LAR 25,20,14,Matthew Stafford pass complete short left to Tutu Atwell for 6 yards (tackle by James Bradberry),0.610,0.870
4,11:52,2,4,LAR 31,20,14,Kyren Williams up the middle for 3 yards (tackle by Jalen Carter),0.870,0.560
4,11:34,3,1,LAR 34,20,14,Kyren Williams up the middle for 3 yards (tackle by Nicholas Morrow),0.560,1.400
4,10:57,1,10,LAR 37,20,14,Matthew Stafford pass incomplete deep middle intended for Tutu Atwell,1.400,0.860
4,10:53,2,10,LAR 37,20,14,Matthew Stafford pass complete short middle to Cooper Kupp for 5 yards (tackle by Bradley Roby),0.860,0.830
4,10:14,3,5,LAR 42,20,14,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,0.830,-0.590
4,10:07,4,5,LAR 42,20,14,"Ethan Evans punts 53 yards, returned by Britain Covey for 15 yards (tackle by Ben Skowronek)",-0.590,-0.280
4,9:55,1,10,PHI 20,20,14,D'Andre Swift left end for 4 yards (tackle by Bobby Brown),0.280,0.270
4,9:17,2,6,PHI 24,20,14,Jalen Hurts pass complete deep right to A.J. Brown for 36 yards (tackle by Russ Yeast),0.270,2.920
4,8:31,1,10,LAR 40,20,14,D'Andre Swift right tackle for -1 yards (tackle by Ernest Jones and Aaron Donald),2.920,2.240
4,7:51,2,11,LAR 41,20,14,Jalen Hurts pass complete short middle to Dallas Goedert for 6 yards (tackle by Russ Yeast),2.240,2.340
4,7:08,,,,,,Timeout #2 by Philadelphia Eagles,,
4,7:08,3,5,LAR 35,20,14,D'Andre Swift left tackle for 17 yards (tackle by Jordan Fuller and Russ Yeast),2.340,4.370
4,6:22,1,10,LAR 18,20,14,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",4.370,4.040
4,6:21,1,15,LAR 23,20,14,"D'Andre Swift right tackle for 9 yards (tackle by Jordan Fuller and Byron Young). Penalty on Jonah Williams: Illegal Use of Hands / Defense, 5 yards (accepted)",4.040,5.140
4,6:07,1,9,LAR 9,20,14,Jalen Hurts right end for -1 yards (tackle by Ernest Jones),5.140,4.190
4,5:24,2,10,LAR 10,20,14,Kenneth Gainwell right tackle for 2 yards (tackle by Bobby Brown and Jordan Fuller),4.190,3.580
4,4:50,,,,,,Timeout #3 by Philadelphia Eagles,,
4,4:50,3,8,LAR 8,20,14,Jalen Hurts right tackle for no gain (tackle by Jordan Fuller and Aaron Donald),3.580,2.950
4,4:10,4,8,LAR 8,23,14,Jake Elliott 26 yard field goal good,2.950,3.000
4,4:06,,,PHI 35,23,14,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
4,4:06,1,10,LAR 25,23,14,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,0.610,0.060
4,4:02,2,10,LAR 25,23,14,Matthew Stafford pass complete short middle to Cooper Kupp for 18 yards (tackle by Justin Evans and Reed Blankenship),0.060,1.800
4,3:39,1,10,LAR 43,23,14,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,1.800,1.250
4,3:32,2,10,LAR 43,23,14,Matthew Stafford pass incomplete short right,1.250,0.560
4,3:27,3,10,LAR 43,23,14,Matthew Stafford sacked by Haason Reddick for -2 yards,0.560,-0.650
4,2:50,4,12,LAR 41,23,14,Matthew Stafford sacked by Haason Reddick for -13 yards,-0.650,-3.710
4,2:46,1,10,LAR 28,23,14,D'Andre Swift left end for 6 yards (tackle by Derion Kendrick),3.710,3.980
4,2:35,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:35,2,4,LAR 22,23,14,D'Andre Swift left end for 3 yards (tackle by Jordan Fuller),3.980,3.720
4,2:28,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:28,3,1,LAR 19,23,14,Jalen Hurts right guard for 2 yards (tackle by Jordan Fuller),3.720,4.440
4,2:23,,,,,,Timeout #3 by Los Angeles Rams,,
4,2:23,1,10,LAR 17,23,14,Kenneth Gainwell right tackle for 4 yards (tackle by Michael Hoecht and Jonah Williams),4.440,4.500
4,1:50,2,6,LAR 13,23,14,"Kenneth Gainwell right end for 3 yards (tackle by Ahkello Witherspoon). Penalty on Landon Dickerson: Offensive Holding, 10 yards (declined)",4.500,4.340
4,1:50,3,3,LAR 10,23,14,Jalen Hurts up the middle for 1 yard (tackle by Michael Hoecht),4.340,2.950
4,1:07,4,2,LAR 9,23,14,"Jalen Hurts left guard for 1 yard (tackle by Zach VanValkenburg) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",2.950,0.380
4,1:01,1,10,LAR 8,23,14,Matthew Stafford pass incomplete deep right intended for Puka Nacua,-0.380,-0.780
4,0:56,2,10,LAR 8,23,14,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,-0.780,-1.420
4,0:51,3,10,LAR 8,23,14,Kyren Williams up the middle for 5 yards (tackle by Milton Williams and Jalen Carter),-1.420,-2.490
4,0:25,4,5,LAR 13,23,14,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Zach Cunningham),-2.490,0.610
4,0:00,1,10,LAR 25,23,14,Matthew Stafford pass complete short right to Puka Nacua for 14 yards (tackle by Darius Slay),0.610,1.530
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
