Unnamed: 0,PHI,LAR
First Downs,28,17
Rush-Yds-TDs,39-159-1,14-54-0
Cmp-Att-Yd-TD-INT,25-38-303-1-1,21-37-222-2-0
Sacked-Yards,1-8,4-27
Net Pass Yards,295,195
Total Yards,454,249
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,3-35,5-48
Third Down Conv.,13-18,6-14
Fourth Down Conv.,0-1,2-3
Time of Possession,37:55,22:05
