Quarter,Time,Tm,Detail,DET,GNB
1.0,10:33,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),7,0
,5:42,Packers,Mason Crosby 43 yard field goal,7,3
,0:04,Lions,Marvin Jones 4 yard pass from Matthew Stafford (Matt Prater kick),14,3
2.0,10:09,Packers,Aaron Jones 7 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
,0:14,Packers,Robert Tonyan 11 yard pass from Aaron Rodgers (Mason Crosby kick),14,17
3.0,14:48,Packers,Aaron Jones 75 yard rush (Mason Crosby kick),14,24
,8:32,Packers,Chandon Sullivan 7 yard interception return (Mason Crosby kick),14,31
,1:32,Packers,Mason Crosby 35 yard field goal,14,34
4.0,13:00,Lions,Marvin Hall 24 yard pass from Matthew Stafford (Matt Prater kick),21,34
,7:59,Packers,Aaron Jones 14 yard rush (Jamaal Williams run),21,42
