Unnamed: 0,ARI,MIA
First Downs,17,22
Rush-Yds-TDs,27-121-1,31-168-1
Cmp-Att-Yd-TD-INT,18-31-162-1-0,18-36-258-1-1
Sacked-Yards,1-13,3-23
Net Pass Yards,149,235
Total Yards,270,403
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,9-45,12-99
Third Down Conv.,3-13,6-15
Fourth Down Conv.,1-1,1-1
Time of Possession,27:34,32:26
