Quarter,Time,Tm,Detail,ATL,SFO
1.0,11:08,Falcons,Michael Turner 7 yard rush (Jason Elam kick),7,0
,6:32,Falcons,Roddy White 31 yard pass from Matt Ryan (Jason Elam kick),14,0
,4:09,49ers,Glen Coffee 2 yard rush (Joe Nedney kick),14,7
2.0,11:07,49ers,Joe Nedney 39 yard field goal,14,10
,6:59,Falcons,Roddy White 90 yard pass from Matt Ryan (Jason Elam kick),21,10
,5:40,Falcons,Michael Turner 3 yard rush (Jason Elam kick),28,10
,1:14,Falcons,Michael Turner 1 yard rush (Jason Elam kick),35,10
3.0,5:50,Falcons,Jason Elam 40 yard field goal,38,10
4.0,8:20,Falcons,Matt Ryan 1 yard rush (Jason Elam kick),45,10
