Unnamed: 0,ATL,SFO
First Downs,28,13
Rush-Yds-TDs,40-148-4,17-100-1
Cmp-Att-Yd-TD-INT,22-32-329-2-1,15-38-198-0-1
Sacked-Yards,0-0,3-19
Net Pass Yards,329,179
Total Yards,477,279
Fumbles-Lost,3-1,2-2
Turnovers,2,3
Penalties-Yards,8-90,8-92
Third Down Conv.,8-14,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,36:29,23:31
