Quarter,Time,Tm,Detail,NYG,DAL
2.0,11:11,Cowboys,Patrick Crayton 34 yard pass from Tony Romo (Nick Folk kick),0,7
,4:52,Giants,John Carney 34 yard field goal,3,7
4.0,12:13,Cowboys,Deon Anderson 1 yard pass from Tony Romo (Nick Folk kick),3,14
,7:06,Giants,"Safety, Tony Romo sacked by Mathias Kiwanuka in the endzone.",5,14
,5:48,Giants,John Carney 47 yard field goal,8,14
,2:16,Cowboys,Tashard Choice 38 yard rush (pass failed),8,20
