Unnamed: 0,NYG,DAL
First Downs,17,17
Rush-Yds-TDs,17-72-0,21-100-1
Cmp-Att-Yd-TD-INT,18-35-191-0-2,20-30-244-2-0
Sacked-Yards,8-45,4-23
Net Pass Yards,146,221
Total Yards,218,321
Fumbles-Lost,2-0,2-0
Turnovers,2,0
Penalties-Yards,7-40,11-108
Third Down Conv.,3-13,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:32,29:28
