Unnamed: 0,NYG,WAS
First Downs,23,21
Rush-Yds-TDs,34-261-3,29-128-1
Cmp-Att-Yd-TD-INT,12-26-101-1-0,22-32-268-3-1
Sacked-Yards,1-7,1-3
Net Pass Yards,94,265
Total Yards,355,393
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-41,10-100
Third Down Conv.,8-14,5-11
Fourth Down Conv.,0-0,1-2
Time of Possession,28:04,31:56
