Quarter,Time,Tm,Detail,NYG,WAS
1.0,7:02,Giants,Jay Feely 34 yard field goal,3,0
,4:58,Redskins,Santana Moss 48 yard pass from Antwaan Randle El (Shaun Suisham kick),3,7
2.0,13:15,Giants,Tiki Barber 15 yard rush (Jay Feely kick),10,7
,5:44,Giants,Tiki Barber 55 yard rush (Jay Feely kick),17,7
,0:02,Giants,Jay Feely 31 yard field goal,20,7
3.0,9:11,Giants,Tim Carter 6 yard pass from Eli Manning (Jay Feely kick),27,7
,2:07,Redskins,Ladell Betts 7 yard pass from Jason Campbell (Shaun Suisham kick),27,14
4.0,9:25,Redskins,T.J. Duckett 1 yard rush (Shaun Suisham kick),27,21
,6:13,Giants,Tiki Barber 50 yard rush (Jay Feely kick),34,21
,3:22,Redskins,Mike Sellers 1 yard pass from Jason Campbell (Shaun Suisham kick),34,28
