Unnamed: 0,KAN,WAS
First Downs,20,13
Rush-Yds-TDs,38-192-2,17-65-0
Cmp-Att-Yd-TD-INT,15-23-154-2-1,19-42-223-1-1
Sacked-Yards,0-0,6-31
Net Pass Yards,154,192
Total Yards,346,257
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,3-30,4-27
Third Down Conv.,2-11,3-15
Fourth Down Conv.,1-2,0-2
Time of Possession,34:10,25:50
