#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,KAN 33,8,3:30,52,Field Goal
2,1,8:46,WAS 13,5,2:54,13,Touchdown
3,1,2:31,WAS 24,3,1:29,24,Touchdown
4,2,13:52,WAS 41,5,2:25,41,Touchdown
5,2,7:48,KAN 36,7,3:59,35,Punt
6,2,1:07,,0,0:14,0,Touchdown
7,3,13:46,KAN 48,3,1:48,5,Punt
8,3,10:14,KAN 15,11,6:13,69,Missed FG
9,3,1:53,KAN 20,6,3:16,80,Touchdown
10,4,10:27,KAN 10,5,3:02,19,Interception
11,4,6:46,KAN 30,3,1:36,0,Punt
12,4,4:23,WAS 40,4,2:01,6,Downs
13,4,1:43,WAS 43,3,1:43,-3,End of Game
