Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Kai Forbath kicks off 60 yards, returned by Quintin Demps for 28 yards (tackle by E.J. Biggers)",0.000,-1.140
1,14:53,1,10,KAN 33,0,0,Jamaal Charles left end for 8 yards (tackle by Bacarri Rambo),1.140,1.670
1,14:15,2,2,KAN 41,0,0,Alex Smith pass complete short left to Sean McGrath for 9 yards (tackle by London Fletcher),1.670,2.260
1,13:40,1,10,,0,0,Alex Smith pass complete deep middle to Dwayne Bowe for 22 yards (tackle by DeAngelo Hall and Bacarri Rambo),2.260,3.710
1,13:04,1,10,WAS 28,0,0,Jamaal Charles left tackle for 13 yards (tackle by Reed Doughty),3.710,4.580
1,12:26,1,10,WAS 15,0,0,Jamaal Charles left end for no gain (tackle by Ryan Kerrigan and Barry Cofield),4.580,3.950
1,11:45,2,10,WAS 15,0,0,Alex Smith pass incomplete short middle intended for Dwayne Bowe (defended by Perry Riley),3.950,3.100
1,11:39,3,10,WAS 15,0,0,Alex Smith pass incomplete short left intended for Jamaal Charles,3.100,2.440
1,11:35,4,10,WAS 15,3,0,Ryan Succop 33 yard field goal good,2.440,3.000
1,11:35,,,KAN 35,3,0,"Ryan Succop kicks off 67 yards, returned by Niles Paul for 23 yards (tackle by Josh Martin)",0.000,-0.340
1,11:23,1,10,WAS 21,3,0,Robert Griffin pass incomplete short middle intended for Josh Morgan,0.340,-0.200
1,11:19,2,10,WAS 21,3,0,Alfred Morris left end for no gain (tackle by Mike DeVito and Tamba Hali),-0.200,-0.890
1,10:42,3,10,WAS 21,3,0,Robert Griffin pass complete short right to Pierre Garcon for 12 yards (tackle by Marcus Cooper),-0.890,1.140
1,10:03,1,10,WAS 33,3,0,Alfred Morris left end for -1 yards (tackle by Akeem Jordan),1.140,0.460
1,9:21,2,11,WAS 32,3,0,Robert Griffin pass incomplete deep right intended for Pierre Garcon,0.460,-0.230
1,9:14,3,11,WAS 32,3,0,Robert Griffin right end for 5 yards (tackle by Brandon Flowers),-0.230,-0.910
1,9:05,4,6,WAS 37,3,0,"Saverio Rocca punts 36 yards, returned by Dexter McCluster for 60 yards (tackle by Trent Robinson)",-0.910,-4.710
1,8:46,1,10,WAS 13,3,0,Alex Smith pass complete short right to Dexter McCluster for 8 yards (tackle by DeAngelo Hall),4.710,5.540
1,8:03,2,2,WAS 5,3,0,Jamaal Charles left end for -2 yards (tackle by Ryan Kerrigan and Brian Orakpo),5.540,4.330
1,7:22,3,4,WAS 7,3,0,Alex Smith right end for 3 yards (tackle by E.J. Biggers),4.330,3.040
1,6:32,4,1,WAS 4,3,0,Jamaal Charles up the middle for 2 yards (tackle by Brian Orakpo),3.040,6.740
1,5:56,1,2,WAS 2,9,0,"Jamaal Charles right tackle for 2 yards, touchdown",6.740,7.000
1,5:56,,,WAS 2,10,0,Ryan Succop kicks extra point good,0.000,0.000
1,5:56,,,KAN 35,10,0,"Ryan Succop kicks off 55 yards, returned by Niles Paul for 17 yards (tackle by Ron Parker)",0.000,-0.740
1,5:46,1,10,WAS 27,10,0,Robert Griffin up the middle for 3 yards (tackle by Dontari Poe),0.740,0.600
1,5:04,2,7,WAS 30,10,0,Alfred Morris left end for 11 yards (tackle by Kendrick Lewis),0.600,1.660
1,4:21,1,10,WAS 41,10,0,Alfred Morris right end for 5 yards (tackle by Akeem Jordan),1.660,1.800
1,3:53,2,5,WAS 46,10,0,Alfred Morris right guard for 2 yards (tackle by Frank Zombo and Tyson Jackson),1.800,1.360
1,3:13,3,3,WAS 48,10,0,Robert Griffin pass complete short left to Santana Moss for 12 yards (tackle by Brandon Flowers),1.360,2.920
1,2:39,1,10,KAN 40,10,0,Robert Griffin pass incomplete short left intended for Pierre Garcon is intercepted by Derrick Johnson at KAN-35 and returned for 40 yards,2.920,-3.910
1,2:31,1,10,WAS 25,10,0,Jamaal Charles left end for 5 yards (tackle by Jarvis Jenkins and London Fletcher),3.910,4.040
1,1:52,2,5,WAS 20,10,0,Alex Smith pass complete short right to Dexter McCluster for -1 yards (tackle by Ryan Kerrigan),4.040,3.200
1,1:11,3,6,WAS 21,16,0,"Alex Smith pass complete short right to Dwayne Bowe for 21 yards, touchdown. Penalty on Perry Riley: Neutral Zone Infraction, 5 yards",3.200,7.000
1,1:11,,,WAS 2,17,0,Ryan Succop kicks extra point good,0.000,0.000
1,1:11,,,KAN 40,17,0,"Ryan Succop kicks off 60 yards, returned by Niles Paul for 29 yards (tackle by Quintin Demps)",0.000,-0.870
1,0:56,1,10,WAS 29,17,0,Alfred Morris left end for 3 yards (tackle by Dontari Poe and Akeem Jordan),0.870,0.730
1,0:15,2,7,WAS 32,17,0,"Alfred Morris right end for 5 yards (tackle by Josh Martin and Akeem Jordan). Penalty on Will Montgomery: Offensive Holding, 10 yards (no play)",0.730,-0.620
Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,17,WAS 22,17,0,Robert Griffin sacked by Tamba Hali for -2 yards,-0.620,-1.550
2,14:26,3,19,WAS 20,17,0,Robert Griffin pass complete short right to Evan Royster for 3 yards (tackle by Derrick Johnson),-1.550,-1.830
2,14:05,4,16,WAS 23,17,0,"Saverio Rocca punts 42 yards, returned by Dexter McCluster for 24 yards (tackle by Reed Doughty)",-1.830,-2.850
2,13:52,1,10,WAS 41,17,0,Alex Smith pass complete deep middle to Dwayne Bowe for 16 yards (tackle by DeAngelo Hall),2.850,3.910
2,13:13,1,10,WAS 25,17,0,Jamaal Charles right guard for 4 yards (tackle by Perry Riley),3.910,3.900
2,12:36,2,6,WAS 21,17,0,Jamaal Charles right end for 13 yards (tackle by Josh Wilson),3.900,5.370
2,12:12,1,8,WAS 8,17,0,Jamaal Charles right guard for 3 yards (tackle by Bacarri Rambo and Reed Doughty),5.370,5.150
2,11:35,2,5,WAS 5,23,0,"Alex Smith pass complete short right to Jamaal Charles for 5 yards, touchdown",5.150,7.000
2,11:35,,,WAS 2,24,0,Ryan Succop kicks extra point good,0.000,0.000
