Unnamed: 0,GNB,KAN
First Downs,16,23
Rush-Yds-TDs,18-102-1,39-139-1
Cmp-Att-Yd-TD-INT,17-35-235-1-0,23-31-299-0-0
Sacked-Yards,4-22,0-0
Net Pass Yards,213,299
Total Yards,315,438
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,5-37,7-55
Third Down Conv.,6-14,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,23:49,36:11
