Quarter,Time,Tm,Detail,CLE,DAL
1.0,12:13,Browns,Odell Beckham Jr. 37 yard pass from Jarvis Landry (Cody Parkey kick),7,0
,9:53,Cowboys,CeeDee Lamb 43 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
,2:08,Cowboys,Amari Cooper 20 yard pass from Dak Prescott (Greg Zuerlein kick),7,14
2.0,13:07,Browns,Odell Beckham Jr. 4 yard pass from Baker Mayfield (Cody Parkey kick),14,14
,9:22,Browns,Austin Hooper 1 yard pass from Baker Mayfield (Cody Parkey kick),21,14
,7:20,Browns,Kareem Hunt 2 yard rush (Cody Parkey kick),28,14
,0:00,Browns,Cody Parkey 37 yard field goal,31,14
3.0,10:51,Browns,Kareem Hunt 14 yard rush (Cody Parkey kick),38,14
,0:40,Browns,Cody Parkey 44 yard field goal,41,14
4.0,12:24,Cowboys,Tony Pollard 3 yard rush (Ezekiel Elliott pass from Dak Prescott),41,22
,6:31,Cowboys,Dalton Schultz 26 yard pass from Dak Prescott (Dak Prescott run),41,30
,3:42,Cowboys,CeeDee Lamb 5 yard pass from Dak Prescott (Amari Cooper run),41,38
,3:25,Browns,Odell Beckham Jr. 50 yard rush (Stephen Carlson run),49,38
