Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Sheldon Richardson),0.610,0.600
1,14:27,2,6,DAL 29,0,0,Dak Prescott sacked by Myles Garrett for -11 yards,0.600,-1.720
1,13:46,3,17,DAL 18,0,0,Dak Prescott pass complete short right to Ezekiel Elliott for 12 yards (tackle by Malcolm Smith),-1.720,-1.370
1,13:29,4,5,DAL 30,0,0,"Chris Jones punts 52 yards, returned by Donovan Peoples-Jones for 13 yards (tackle by C.J. Goodwin)",-1.370,-1.000
1,13:23,1,10,CLE 31,0,0,Nick Chubb left tackle for 21 yards (tackle by Daryl Worley),1.000,2.390
1,12:51,1,10,DAL 48,0,0,Baker Mayfield pass incomplete short left intended for Austin Hooper (defended by Joe Thomas),2.390,1.850
1,12:47,2,10,DAL 48,0,0,Baker Mayfield pass complete short left to Austin Hooper for 11 yards (tackle by Darian Thompson),1.850,3.120
1,12:21,1,10,DAL 37,6,0,"Jarvis Landry pass complete deep left to Odell Beckham for 37 yards, touchdown",3.120,7.000
1,12:13,,,DAL 15,7,0,Cody Parkey kicks extra point good,0.000,0.000
1,12:13,,,CLE 35,7,0,"Cody Parkey kicks off 60 yards, returned by Tony Pollard for 7 yards (tackle by Stephen Carlson)",0.000,-0.350
1,12:07,1,10,DAL 12,7,0,Dak Prescott pass complete short right to Dalton Schultz for 25 yards (tackle by Karl Joseph),-0.350,1.400
1,11:40,1,10,DAL 37,7,0,Ezekiel Elliott up the middle for 3 yards (tackle by Larry Ogunjobi and Sheldon Richardson),1.400,1.260
1,11:07,2,7,DAL 40,7,0,Dak Prescott pass complete short right to Ezekiel Elliott for 18 yards (tackle by Karl Joseph),1.260,2.790
1,10:32,1,10,CLE 42,7,0,Ezekiel Elliott left guard for -1 yards (tackle by Olivier Vernon),2.790,2.110
1,10:01,2,11,CLE 43,7,6,"Dak Prescott pass complete deep middle to CeeDee Lamb for 43 yards, touchdown",2.110,7.000
1,9:53,,,CLE 15,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,9:53,,,DAL 35,7,7,"Greg Zuerlein kicks off 63 yards, returned by Donovan Peoples-Jones for 21 yards (tackle by Francis Bernard)",0.000,0.480
1,9:46,1,10,CLE 23,7,7,Nick Chubb left guard for -2 yards (tackle by Joe Thomas),0.480,-0.340
1,9:06,2,12,CLE 21,7,7,Baker Mayfield pass complete short middle to Harrison Bryant for 16 yards (tackle by Jaylon Smith and Donovan Wilson),-0.340,1.400
1,8:29,1,10,CLE 37,7,7,Nick Chubb right tackle for 9 yards (tackle by Donovan Wilson),1.400,2.070
1,7:50,2,1,CLE 46,7,7,Baker Mayfield pass incomplete short right,2.070,1.360
1,7:43,3,1,CLE 46,7,7,Nick Chubb up the middle for 2 yards (tackle by Everson Griffen),1.360,2.130
1,7:06,1,10,CLE 48,7,7,Baker Mayfield pass incomplete short middle intended for Odell Beckham,2.130,1.580
1,7:01,2,10,CLE 48,7,7,Nick Chubb up the middle for 3 yards (tackle by DeMarcus Lawrence),1.580,1.290
1,6:25,3,7,DAL 49,7,7,Baker Mayfield pass incomplete short right,1.290,0.000
1,6:19,4,7,DAL 49,7,7,"Jamie Gillan punts 39 yards, returned by Cedrick Wilson for 6 yards (tackle by Tavierre Thomas)",0.000,0.140
1,6:10,1,10,DAL 16,7,7,Dak Prescott pass complete short right to Amari Cooper for 10 yards (tackle by Mack Wilson),-0.140,0.670
1,5:42,1,10,DAL 26,7,7,Tony Pollard left tackle for 5 yards (tackle by Sione Takitaki and B.J. Goodson),0.670,0.810
1,5:09,2,5,DAL 31,7,7,Dak Prescott pass complete short middle to Amari Cooper for 13 yards (tackle by Terrance Mitchell),0.810,1.860
1,4:35,1,10,DAL 44,7,7,Dak Prescott pass complete short middle to Noah Brown for 9 yards (tackle by Denzel Ward),1.860,2.530
1,4:12,2,1,CLE 47,7,7,Dak Prescott pass complete deep middle to CeeDee Lamb for 19 yards (tackle by B.J. Goodson),2.530,3.710
1,3:46,1,10,CLE 28,7,7,Dak Prescott pass incomplete short right intended for Dalton Schultz (defended by Denzel Ward),3.710,3.170
1,3:41,2,10,CLE 28,7,7,CeeDee Lamb left end for 3 yards (tackle by B.J. Goodson),3.170,2.870
1,3:00,3,7,CLE 25,7,7,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by Denzel Ward),2.870,2.250
1,2:13,,,,,,Timeout #1 by Dallas Cowboys,,
1,2:13,4,2,CLE 20,7,13,"Dak Prescott pass complete short middle to Amari Cooper for 20 yards, touchdown",2.250,7.000
1,2:08,,,CLE 15,7,14,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:08,,,DAL 35,7,14,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,2:08,1,10,CLE 25,7,14,Odell Beckham right end for 23 yards (tackle by Joe Thomas),0.610,2.130
1,1:27,1,10,CLE 48,7,14,"Nick Chubb left end for 10 yards (tackle by Daryl Worley). Penalty on Donovan Peoples-Jones: Offensive Holding, 10 yards",2.130,2.130
1,1:08,1,10,CLE 48,7,14,"Baker Mayfield pass incomplete deep right intended for Jarvis Landry. Penalty on Wyatt Teller: Offensive Holding, 10 yards (no play)",2.130,1.470
1,0:59,1,20,CLE 38,7,14,"Baker Mayfield pass complete short left to Austin Hooper for 5 yards (tackle by Donovan Wilson). Penalty on Jaylon Smith: Face Mask (15 Yards), 15 yards",1.470,2.790
1,0:35,1,10,DAL 42,7,14,Kareem Hunt left tackle for 8 yards (tackle by Everson Griffen and Donovan Wilson),2.790,3.320
1,0:16,2,2,DAL 34,7,14,Baker Mayfield pass complete deep right to Odell Beckham for 16 yards (tackle by Trevon Diggs),3.320,4.370
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 18,7,14,Kareem Hunt right end for 4 yards (tackle by Tyrone Crawford),4.370,4.430
2,14:18,2,6,DAL 14,7,14,Baker Mayfield sacked by Trevon Diggs for no gain,4.430,3.630
2,13:38,3,6,DAL 14,7,14,Baker Mayfield pass complete short left to Jarvis Landry for 10 yards,3.630,6.280
2,13:12,1,4,DAL 4,13,14,"Baker Mayfield pass complete short middle to Odell Beckham for 4 yards, touchdown",6.280,7.000
2,13:07,,,DAL 15,14,14,Cody Parkey kicks extra point good,0.000,0.000
2,13:07,,,CLE 35,14,14,"Cody Parkey kicks off 64 yards, returned by Tony Pollard for 26 yards (tackle by Stephen Carlson)",0.000,0.740
2,13:00,1,10,DAL 27,14,14,Ezekiel Elliott left tackle for 9 yards (tackle by Andrew Sendejo),0.740,1.410
2,12:27,2,1,DAL 36,14,14,Ezekiel Elliott left guard for no gain (tackle by Olivier Vernon),1.410,0.700
2,11:54,3,1,DAL 36,14,14,Ezekiel Elliott up the middle for 2 yards (tackle by Karl Joseph and Myles Garrett),0.700,1.470
2,11:23,1,10,DAL 38,14,14,"Dak Prescott sacked by Myles Garrett for -4 yards. Dak Prescott fumbles (forced by Myles Garrett), recovered by Olivier Vernon at DAL-34",1.470,-3.310
2,11:15,1,10,DAL 34,14,14,Baker Mayfield pass complete short left to Odell Beckham for 11 yards (tackle by Daryl Worley),3.310,4.040
2,10:48,1,10,DAL 23,14,14,Kareem Hunt right end for 10 yards (tackle by Xavier Woods),4.040,4.710
2,10:05,1,10,DAL 13,14,14,Kareem Hunt right tackle for 12 yards (tackle by Trevon Diggs and Donovan Wilson),4.710,6.970
2,9:26,1,1,DAL 1,20,14,"Baker Mayfield pass complete short left to Austin Hooper for 1 yard, touchdown",6.970,7.000
2,9:22,,,DAL 15,21,14,Cody Parkey kicks extra point good,0.000,0.000
2,9:22,,,CLE 35,21,14,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,9:22,1,10,DAL 25,21,14,"Ezekiel Elliott right end for 24 yards (tackle by Andrew Sendejo and Sione Takitaki). Ezekiel Elliott fumbles (forced by Andrew Sendejo), recovered by Vincent Taylor at CLE-49",0.610,-2.190
2,9:11,1,10,CLE 49,21,14,D'Ernest Johnson left end for 28 yards (tackle by Daryl Worley),2.190,4.040
2,8:26,1,10,DAL 23,21,14,Baker Mayfield pass incomplete short left intended for Austin Hooper,4.040,3.500
2,8:21,2,10,DAL 23,21,14,Baker Mayfield pass incomplete deep right intended for Odell Beckham,3.500,2.810
2,8:16,3,10,DAL 23,21,14,Baker Mayfield pass complete short right to Jarvis Landry for 11 yards,2.810,4.780
2,8:10,1,10,DAL 12,21,14,Dontrell Hilliard right end for 10 yards (tackle by Trevon Diggs),4.780,6.740
2,7:25,1,2,DAL 2,27,14,"Kareem Hunt left guard for 2 yards, touchdown",6.740,7.000
2,7:20,,,DAL 15,28,14,Cody Parkey kicks extra point good,0.000,0.000
2,7:20,,,CLE 35,28,14,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,7:20,1,10,DAL 25,28,14,Dak Prescott right end for 1 yard (tackle by Sione Takitaki),0.610,0.200
2,6:50,2,9,DAL 26,28,14,Ezekiel Elliott up the middle for 5 yards (tackle by Larry Ogunjobi and Karl Joseph),0.200,0.170
2,6:08,3,4,DAL 31,28,14,Dak Prescott pass complete short right to Cedrick Wilson for 6 yards (tackle by Karl Joseph),0.170,1.400
2,5:34,1,10,DAL 37,28,14,Dak Prescott pass complete deep left to Michael Gallup for 17 yards (tackle by Terrance Mitchell),1.400,2.520
2,5:13,1,10,CLE 46,28,14,Dak Prescott pass incomplete short left intended for Tony Pollard,2.520,1.980
2,5:06,2,10,CLE 46,28,14,Dak Prescott pass complete short left to Ezekiel Elliott for no gain (tackle by Malcolm Smith),1.980,1.290
2,4:26,3,10,CLE 46,28,14,"Penalty on Tyler Biadasz: False Start, 5 yards (no play)",1.290,0.630
2,4:09,3,15,DAL 49,28,14,Dak Prescott pass incomplete deep left intended for Cedrick Wilson,0.630,-0.130
2,4:00,4,15,DAL 49,28,14,"Chris Jones punts 41 yards, fair catch by Donovan Peoples-Jones at CLE-10",-0.130,0.380
2,3:53,1,10,CLE 10,28,14,D'Ernest Johnson left guard for 4 yards (tackle by Aldon Smith),-0.380,-0.460
2,3:21,2,6,CLE 14,28,14,D'Ernest Johnson right end for 6 yards (tackle by Xavier Woods and Jaylon Smith),-0.460,0.280
2,2:36,1,10,CLE 20,28,14,D'Ernest Johnson right end for 12 yards (tackle by Dorance Armstrong),0.280,1.070
2,2:00,1,10,CLE 32,28,14,Baker Mayfield pass incomplete short right,1.070,0.530
2,1:53,2,10,CLE 32,28,14,D'Ernest Johnson right tackle for 2 yards (tackle by DeMarcus Lawrence),0.530,0.100
2,1:11,3,8,CLE 34,28,14,Baker Mayfield pass complete short right to Jarvis Landry for 9 yards (tackle by Trevon Diggs),0.100,1.800
2,1:00,,,,,,Timeout #1 by Cleveland Browns,,
2,1:00,1,10,CLE 43,28,14,Baker Mayfield pass complete short middle to Odell Beckham for 13 yards (tackle by Joe Thomas),1.800,2.650
2,0:37,1,10,DAL 44,28,14,Baker Mayfield pass complete short left to Austin Hooper for 12 yards (tackle by Donovan Wilson),2.650,3.450
2,0:30,,,,,,Timeout #2 by Cleveland Browns,,
2,0:30,1,10,DAL 32,28,14,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,3.450,2.900
2,0:24,2,10,DAL 32,28,14,Baker Mayfield pass complete short right to Harrison Bryant for 6 yards (tackle by Jaylon Smith),2.900,3.010
2,0:18,,,,,,Timeout #3 by Cleveland Browns,,
2,0:18,3,4,DAL 26,28,14,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Xavier Woods),3.010,4.310
2,0:07,1,10,DAL 19,28,14,Baker Mayfield spiked the ball,4.310,3.750
2,0:05,2,10,DAL 19,31,14,Cody Parkey 37 yard field goal good,3.750,3.000
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,31,14,"Greg Zuerlein kicks off 67 yards, returned by Donovan Peoples-Jones for 32 yards (tackle by Luke Gifford)",0.000,0.940
3,14:54,1,10,CLE 30,31,14,Kareem Hunt left end for 6 yards (tackle by Joe Thomas),0.940,1.200
3,14:12,2,4,CLE 36,31,14,Baker Mayfield pass complete short left to Harrison Bryant for 14 yards (tackle by Donovan Wilson),1.200,2.260
3,13:29,1,10,CLE 50,31,14,"Kareem Hunt left end for -4 yards (tackle by DeMarcus Lawrence). Penalty on Odell Beckham: Illegal Block Above the Waist, 10 yards (no play)",2.260,1.600
3,13:10,1,20,CLE 40,31,14,Baker Mayfield pass complete short right to Jarvis Landry for 11 yards (tackle by Jaylon Smith),1.600,1.850
3,12:30,2,9,DAL 49,31,14,"Baker Mayfield left end for 8 yards (tackle by Donovan Wilson). Penalty on Trevon Diggs: Face Mask (15 Yards), 15 yards",1.850,3.840
3,12:16,1,10,DAL 26,31,14,Dontrell Hilliard right guard for 9 yards (tackle by Donovan Wilson and Jaylon Smith),3.840,4.640
3,11:39,2,1,DAL 17,31,14,Dontrell Hilliard left guard for 3 yards (tackle by Trysten Hill),4.640,4.650
3,10:59,1,10,DAL 14,37,14,"Kareem Hunt left end for 14 yards, touchdown",4.650,7.000
3,10:51,,,DAL 15,38,14,Cody Parkey kicks extra point good,0.000,0.000
3,10:51,,,CLE 35,38,14,"Cody Parkey kicks off 68 yards, returned by Tony Pollard for 26 yards (tackle by Tavierre Thomas)",0.000,0.480
3,10:45,1,10,DAL 23,38,14,Ezekiel Elliott right guard for 2 yards (tackle by B.J. Goodson),0.480,0.200
3,10:22,2,8,DAL 25,38,14,Dak Prescott pass incomplete deep right intended for Amari Cooper,0.200,-0.490
3,10:15,3,8,DAL 25,38,14,Dak Prescott sacked by M.J. Stewart for -6 yards,-0.490,-2.140
3,9:44,4,14,DAL 19,38,14,"Chris Jones punts 40 yards, fair catch by Donovan Peoples-Jones at CLE-41",-2.140,-1.660
3,9:34,1,10,CLE 41,38,14,D'Ernest Johnson right guard for 4 yards (tackle by Everson Griffen),1.660,1.660
3,8:59,2,6,CLE 45,38,14,Baker Mayfield pass complete short right to Harrison Bryant for 1 yard (tackle by Joe Thomas),1.660,1.090
3,8:16,3,5,CLE 46,38,14,Baker Mayfield pass incomplete short right,1.090,-0.320
3,8:06,4,5,CLE 46,38,14,"Jamie Gillan punts 44 yards, returned by CeeDee Lamb for 27 yards (tackle by Stephen Carlson)",-0.320,-1.400
3,7:55,1,10,DAL 37,38,14,Dak Prescott pass complete short left to Amari Cooper for 7 yards (tackle by Malcolm Smith),1.400,1.800
3,7:35,2,3,DAL 44,38,14,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.800,1.090
3,7:30,3,3,DAL 44,38,14,Dak Prescott pass complete short right to Amari Cooper for 3 yards (tackle by Tavierre Thomas),1.090,2.060
3,7:03,1,10,DAL 47,38,14,Dak Prescott pass complete short left to CeeDee Lamb for 7 yards,2.060,2.460
3,6:46,2,3,CLE 46,38,14,Dak Prescott pass complete short left to Ezekiel Elliott for 6 yards (tackle by Sheldon Richardson),2.460,2.920
3,6:20,1,10,CLE 40,38,14,Dak Prescott pass incomplete deep middle intended for Dalton Schultz (defended by Ronnie Harrison),2.920,2.370
3,6:16,2,10,CLE 40,38,14,Dak Prescott pass incomplete short middle intended for Cedrick Wilson,2.370,1.680
3,6:12,3,10,CLE 40,38,14,Dak Prescott pass complete short right to Dalton Schultz for 7 yards (tackle by Jacob Phillips),1.680,1.190
3,5:30,4,3,CLE 33,38,14,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Jacob Phillips),1.190,-1.200
3,5:26,1,10,CLE 34,38,14,Kareem Hunt right tackle for 1 yard (tackle by Trysten Hill and Dontari Poe),1.200,0.790
3,4:44,2,9,CLE 35,38,14,Kareem Hunt right end for 5 yards (tackle by Xavier Woods and Antwaun Woods),0.790,0.760
3,4:02,3,4,CLE 40,38,14,"Baker Mayfield pass complete short right to Dontrell Hilliard for 2 yards (tackle by Joe Thomas). Penalty on Joe Thomas: Unnecessary Roughness, 15 yards",0.760,2.720
