Unnamed: 0,BUF,KAN
First Downs,26,23
Rush-Yds-TDs,31-125-0,18-68-0
Cmp-Att-Yd-TD-INT,27-40-329-3-0,25-40-338-2-2
Sacked-Yards,1-11,3-19
Net Pass Yards,318,319
Total Yards,443,387
Fumbles-Lost,1-1,1-0
Turnovers,1,2
Penalties-Yards,7-35,5-58
Third Down Conv.,4-11,4-11
Fourth Down Conv.,1-3,1-1
Time of Possession,31:28,28:32
