Unnamed: 0,BUF,LAR
First Downs,23,19
Rush-Yds-TDs,25-121-1,18-52-0
Cmp-Att-Yd-TD-INT,26-31-297-3-2,29-41-240-1-3
Sacked-Yards,2-5,7-49
Net Pass Yards,292,191
Total Yards,413,243
Fumbles-Lost,2-2,1-0
Turnovers,4,3
Penalties-Yards,5-35,4-30
Third Down Conv.,9-10,6-13
Fourth Down Conv.,0-0,2-3
Time of Possession,31:14,28:46
