Quarter,Time,Tm,Detail,DAL,WAS
2.0,6:31,Cowboys,Dan Bailey 38 yard field goal,3,0
,0:00,Redskins,Dustin Hopkins 45 yard field goal,3,3
3.0,10:33,Redskins,Dustin Hopkins 36 yard field goal,3,6
,3:34,Cowboys,Dan Bailey 34 yard field goal,6,6
4.0,14:15,Redskins,Dustin Hopkins 46 yard field goal,6,9
,4:22,Cowboys,Dan Bailey 20 yard field goal,9,9
,1:14,Cowboys,Darren McFadden 6 yard rush (Dan Bailey kick),16,9
,0:44,Redskins,DeSean Jackson 28 yard pass from Kirk Cousins (Dustin Hopkins kick),16,16
,0:09,Cowboys,Dan Bailey 54 yard field goal,19,16
