Unnamed: 0,DAL,WAS
First Downs,16,15
Rush-Yds-TDs,24-97-1,26-73-0
Cmp-Att-Yd-TD-INT,16-29-223-0-0,22-31-219-1-0
Sacked-Yards,1-2,3-26
Net Pass Yards,221,193
Total Yards,318,266
Fumbles-Lost,4-3,2-1
Turnovers,3,1
Penalties-Yards,8-70,9-73
Third Down Conv.,1-9,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,27:13,32:47
