Unnamed: 0,DAL,NYG
First Downs,13,12
Rush-Yds-TDs,25-108-0,33-93-0
Cmp-Att-Yd-TD-INT,17-37-165-1-2,17-28-193-1-1
Sacked-Yards,3-13,3-26
Net Pass Yards,152,167
Total Yards,260,260
Fumbles-Lost,2-1,4-2
Turnovers,3,3
Penalties-Yards,5-54,7-50
Third Down Conv.,1-15,2-14
Fourth Down Conv.,1-2,2-2
Time of Possession,29:08,30:52
