Quarter,Time,Tm,Detail,DAL,NYG
1.0,4:44,Cowboys,Terrance Williams 31 yard pass from Dak Prescott (Dan Bailey kick),7,0
3.0,5:50,Giants,Robbie Gould 39 yard field goal,7,3
,1:07,Giants,Odell Beckham Jr. 61 yard pass from Eli Manning (Robbie Gould kick),7,10
