Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 68 yards, returned by Courtney Roby for 16 yards (tackle by John Wendling)",0.000,0.040
1,14:55,1,10,NOR 18,0,0,Lynell Hamilton middle for 4 yards (tackle by Donte Whitner),0.040,0.140
1,14:21,2,6,NOR 22,0,0,Drew Brees pass incomplete short right intended for Reggie Bush (defended by Marcus Stroud),0.140,-0.660
1,14:17,3,6,NOR 22,0,0,Drew Brees pass complete short left to Marques Colston for 12 yards (tackle by Leodis McKelvin and Reggie Corner),-0.660,1.200
1,13:41,1,10,NOR 34,0,0,Drew Brees pass complete deep left to Marques Colston for 32 yards (tackle by Jairus Byrd),1.200,3.310
1,13:09,1,10,BUF 34,0,0,Reggie Bush right tackle for 2 yards (tackle by Chris Kelsay and Kyle Williams),3.310,3.040
1,12:33,2,8,BUF 32,0,0,Drew Brees pass complete deep right to Devery Henderson for 20 yards (tackle by Terrence McGee),3.040,4.780
1,12:01,1,10,BUF 12,0,0,Reggie Bush right tackle for 3 yards (tackle by Spencer Johnson),4.780,4.640
1,11:26,2,7,BUF 9,0,0,Reggie Bush middle for 3 yards (tackle by Bryan Scott and Spencer Johnson),4.640,4.380
1,10:47,3,4,BUF 6,0,0,Drew Brees pass complete short middle to Marques Colston for 5 yards (tackle by Terrence McGee and Keith Ellison),4.380,6.970
1,10:07,1,1,BUF 1,6,0,"Lynell Hamilton middle for 1 yard, touchdown",6.970,7.000
1,,,,BUF 2,7,0,John Carney kicks extra point good,0.000,0.000
1,,,,NOR 30,7,0,"Thomas Morstead kicks off 63 yards, returned by Roscoe Parrish for 28 yards (tackle by Jeff Charleston). Penalty on John Wendling: Illegal Block Above the , 10 yards",0.000,-0.140
1,9:58,1,10,BUF 16,7,0,"Penalty on Demetress Bell: False Start, 5 yards (no play)",-0.140,-0.540
1,9:58,1,15,BUF 11,7,0,Fred Jackson middle for -1 yards (tackle by Roman Harper and Randall Gay),-0.540,-1.220
1,9:29,2,16,BUF 10,7,0,Trent Edwards pass complete short left to Derek Fine for 10 yards (tackle by Jonathan Vilma),-1.220,-0.820
1,9:03,3,6,BUF 20,7,0,Trent Edwards pass complete short middle to Josh Reed for 14 yards (tackle by Roman Harper),-0.820,1.200
1,8:31,1,10,BUF 34,7,0,Trent Edwards pass complete short right to Josh Reed for 9 yards (tackle by Jabari Greer),1.200,1.870
1,7:58,2,1,BUF 43,7,0,Fred Jackson right tackle for 4 yards (tackle by Sedrick Ellis and Charles Grant),1.870,2.060
1,7:24,1,10,BUF 47,7,0,Trent Edwards pass incomplete short right intended for Derek Fine,2.060,1.520
1,7:20,2,10,BUF 47,7,0,Trent Edwards pass incomplete short right intended for Terrell Owens,1.520,0.830
1,7:15,3,10,BUF 47,7,0,Trent Edwards pass complete short right to Fred Jackson for 6 yards (tackle by Jonathan Vilma and Scott Shanle),0.830,0.130
1,6:37,4,4,NOR 47,7,0,"Brian Moorman punts 47 yards, touchback. Penalty on Jon Corto: Illegal Touch Kick, 5 yards",0.130,-0.610
1,6:30,1,10,NOR 25,7,0,Drew Brees pass complete deep left to Jeremy Shockey for 21 yards,0.610,1.990
1,6:08,1,10,NOR 46,7,0,Drew Brees pass complete short middle to Jeremy Shockey for 4 yards (tackle by Bryan Scott and Kawika Mitchell),1.990,1.990
1,5:36,2,6,,7,0,Reggie Bush right end for 14 yards (tackle by Marcus Stroud),1.990,3.180
1,4:56,1,10,BUF 36,7,0,"Drew Brees pass complete short right to Jeremy Shockey for 2 yards (tackle by Aaron Schobel). Penalty on Jon Stinchcomb: Illegal Block Above the , 10 yards (no play)",3.180,2.520
1,4:32,1,20,BUF 46,7,0,Reggie Bush left tackle for 17 yards (tackle by Leodis McKelvin),2.520,3.580
1,4:03,2,3,BUF 29,7,0,Lynell Hamilton right guard for 1 yard (tackle by Spencer Johnson and Marcus Stroud),3.580,3.010
1,3:26,3,2,BUF 28,7,0,Drew Brees pass incomplete short right intended for Devery Henderson,3.010,1.700
1,3:22,4,2,BUF 28,7,0,Drew Brees pass complete short right to Reggie Bush for no gain,1.700,-0.810
1,3:14,1,10,BUF 28,7,0,Trent Edwards pass incomplete short right intended for Derek Fine,0.810,0.260
1,3:10,2,10,BUF 28,7,0,Fred Jackson middle for 2 yards (tackle by Will Smith and Roman Harper),0.260,-0.160
1,2:27,3,8,BUF 30,7,0,Trent Edwards pass complete short right to Josh Reed for 18 yards (tackle by Scott Fujita),-0.160,2.130
1,1:46,1,10,BUF 48,7,0,Trent Edwards pass incomplete short left intended for Lee Evans,2.130,1.580
1,1:42,2,10,BUF 48,7,0,"Trent Edwards pass complete short middle to Fred Jackson for 8 yards (tackle by Roman Harper and Randall Gay). Penalty on Anthony Hargrove: Roughing the Passer, 15 yards",1.580,3.640
1,1:13,1,10,NOR 29,7,0,Trent Edwards pass complete short right to Fred Jackson for no gain,3.640,3.100
1,0:33,2,10,NOR 29,7,0,Fred Jackson middle for 4 yards (tackle by Anthony Hargrove and Jeff Charleston),3.100,2.940
Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,NOR 25,7,0,Trent Edwards pass incomplete short left intended for Derek Fine,2.940,1.830
2,14:56,4,6,NOR 25,7,6,"Brian Moorman pass complete deep left to Ryan Denney for 25 yards, touchdown",1.830,7.000
2,,,,NOR 2,7,7,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,7,7,"Rian Lindell kicks off 29 yards, returned by Jeff Charleston for no gain",0.000,1.660
2,14:46,1,10,NOR 41,7,7,Drew Brees pass incomplete short left intended for Heath Evans,1.660,1.120
2,14:40,2,10,NOR 41,7,7,Reggie Bush middle for 6 yards (tackle by Donte Whitner and Spencer Johnson),1.120,1.220
2,14:03,3,4,NOR 47,7,7,Drew Brees middle for 10 yards (tackle by Bryan Scott),1.220,2.720
2,13:26,1,10,BUF 43,7,7,Drew Brees pass incomplete short right intended for Reggie Bush,2.720,2.180
2,13:21,2,10,BUF 43,7,7,Drew Brees pass complete short left to Jeremy Shockey for 9 yards (tackle by Jairus Byrd),2.180,2.680
2,12:39,3,1,BUF 34,7,7,Lynell Hamilton left end for 2 yards (tackle by Spencer Johnson),2.680,3.450
2,11:57,1,10,BUF 32,7,7,"Drew Brees sacked by Aaron Schobel for -6 yards. Drew Brees fumbles (forced by Aaron Schobel), recovered by Aaron Schobel at BUF-38",3.450,-1.470
2,11:48,1,10,BUF 38,7,7,Fred Jackson right tackle for 4 yards (tackle by Scott Shanle and Marvin Mitchell),1.470,1.460
2,11:17,2,6,BUF 42,7,7,Fred Jackson right guard for 12 yards (tackle by Jabari Greer and Darren Sharper),1.460,2.520
2,10:43,1,10,NOR 46,7,7,Fred Jackson left guard for 6 yards (tackle by Marvin Mitchell and Sedrick Ellis),2.520,2.790
2,10:03,2,4,NOR 40,7,7,"Xavier Omon right guard for 5 yards (tackle by Sedrick Ellis and Roman Harper). Penalty on Eric Wood: Offensive Holding, 10 yards",2.790,2.110
