Unnamed: 0,NOR,BUF
First Downs,21,13
Rush-Yds-TDs,38-222-3,21-89-0
Cmp-Att-Yd-TD-INT,16-29-172-0-0,21-36-181-1-1
Sacked-Yards,2-16,4-27
Net Pass Yards,156,154
Total Yards,378,243
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,9-97,12-116
Third Down Conv.,5-15,2-14
Fourth Down Conv.,1-2,1-2
Time of Possession,33:34,26:26
