Unnamed: 0,CIN,HOU
First Downs,21,19
Rush-Yds-TDs,19-76-1,35-188-2
Cmp-Att-Yd-TD-INT,27-42-257-0-3,11-20-159-1-0
Sacked-Yards,4-33,2-7
Net Pass Yards,224,152
Total Yards,300,340
Fumbles-Lost,1-0,0-0
Turnovers,3,0
Penalties-Yards,3-25,5-87
Third Down Conv.,6-13,6-12
Fourth Down Conv.,0-2,0-0
Time of Possession,30:17,29:43
