Quarter,Time,Tm,Detail,CIN,HOU
1.0,7:34,Bengals,Cedric Benson 1 yard rush (Mike Nugent kick),7,0
,4:57,Texans,Arian Foster 8 yard rush (Neil Rackers kick),7,7
2.0,7:09,Bengals,Mike Nugent 37 yard field goal,10,7
,1:48,Texans,Neil Rackers 39 yard field goal,10,10
,0:52,Texans,J.J. Watt 29 yard interception return (Neil Rackers kick),10,17
3.0,1:08,Texans,Andre Johnson 40 yard pass from T.J. Yates (Neil Rackers kick),10,24
4.0,5:15,Texans,Arian Foster 42 yard rush (Neil Rackers kick),10,31
