Unnamed: 0,WAS,DET
First Downs,22,23
Rush-Yds-TDs,14-65-0,36-154-1
Cmp-Att-Yd-TD-INT,27-41-340-2-1,21-36-241-1-0
Sacked-Yards,2-15,2-14
Net Pass Yards,325,227
Total Yards,390,381
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,9-97,8-58
Third Down Conv.,2-10,10-18
Fourth Down Conv.,1-2,0-0
Time of Possession,23:12,36:48
